rank_by_gate_score,variant_id,experiment_name,hypothesis,mechanism,turnover_penalty,smoothness_penalty,concentration_penalty,max_weight_penalty,max_weight_target,config_path,output_dir,portable_launch_cell,notebook_path,preflight_status,fold_count,seed_count,audit_ok,status,is_negative_control_variant,test_sharpe_median,delta_vs_reference_test_sharpe_median,test_return_pct_median,delta_vs_reference_test_return_pct_median,test_max_drawdown_median,delta_vs_reference_test_max_drawdown_median,test_turnover_median,delta_vs_reference_test_turnover_median,primary_benchmark_excess_return_pct_median,delta_vs_reference_primary_benchmark_excess_return_pct_median,primary_benchmark_excess_sharpe_median,delta_vs_reference_primary_benchmark_excess_sharpe_median,primary_benchmark_regret_return_pct_median,delta_vs_reference_primary_benchmark_regret_return_pct_median,primary_benchmark_regret_sharpe_median,delta_vs_reference_primary_benchmark_regret_sharpe_median,primary_benchmark_outperform_return_rate,delta_vs_reference_primary_benchmark_outperform_return_rate,primary_benchmark_outperform_sharpe_rate,delta_vs_reference_primary_benchmark_outperform_sharpe_rate,primary_benchmark_hit_rate_median,delta_vs_reference_primary_benchmark_hit_rate_median,test_sharpe_mean,test_sharpe_median_from_runs,delta_vs_reference_test_sharpe_mean,seed_matched_reference_test_sharpe_median,delta_vs_seed_matched_reference_test_sharpe_median,paired_delta_test_sharpe_median,paired_delta_test_sharpe_mean,paired_win_rate_test_sharpe,folds_with_positive_test_sharpe_delta,test_return_pct_mean,test_return_pct_median_from_runs,delta_vs_reference_test_return_pct_mean,seed_matched_reference_test_return_pct_median,delta_vs_seed_matched_reference_test_return_pct_median,paired_delta_test_return_pct_median,paired_delta_test_return_pct_mean,paired_win_rate_test_return_pct,folds_with_positive_test_return_pct_delta,test_max_drawdown_mean,test_max_drawdown_median_from_runs,delta_vs_reference_test_max_drawdown_mean,seed_matched_reference_test_max_drawdown_median,delta_vs_seed_matched_reference_test_max_drawdown_median,paired_delta_test_max_drawdown_median,paired_delta_test_max_drawdown_mean,paired_win_rate_test_max_drawdown,folds_with_positive_test_max_drawdown_delta,test_turnover_mean,test_turnover_median_from_runs,delta_vs_reference_test_turnover_mean,seed_matched_reference_test_turnover_median,delta_vs_seed_matched_reference_test_turnover_median,paired_delta_test_turnover_median,paired_delta_test_turnover_mean,paired_win_rate_test_turnover,folds_with_positive_test_turnover_delta,validation_sharpe_mean,validation_sharpe_median_from_runs,delta_vs_reference_validation_sharpe_mean,seed_matched_reference_validation_sharpe_median,delta_vs_seed_matched_reference_validation_sharpe_median,paired_delta_validation_sharpe_median,paired_delta_validation_sharpe_mean,paired_win_rate_validation_sharpe,folds_with_positive_validation_sharpe_delta,validation_return_pct_mean,validation_return_pct_median_from_runs,delta_vs_reference_validation_return_pct_mean,seed_matched_reference_validation_return_pct_median,delta_vs_seed_matched_reference_validation_return_pct_median,paired_delta_validation_return_pct_median,paired_delta_validation_return_pct_mean,paired_win_rate_validation_return_pct,folds_with_positive_validation_return_pct_delta,generalization_ratio_mean,generalization_ratio_median_from_runs,delta_vs_reference_generalization_ratio_mean,seed_matched_reference_generalization_ratio_median,delta_vs_seed_matched_reference_generalization_ratio_median,paired_delta_generalization_ratio_median,paired_delta_generalization_ratio_mean,paired_win_rate_generalization_ratio,folds_with_positive_generalization_ratio_delta,retention_ratio_mean,retention_ratio_median_from_runs,delta_vs_reference_retention_ratio_mean,seed_matched_reference_retention_ratio_median,delta_vs_seed_matched_reference_retention_ratio_median,paired_delta_retention_ratio_median,paired_delta_retention_ratio_mean,paired_win_rate_retention_ratio,folds_with_positive_retention_ratio_delta,primary_paired_delta_excess_return_pct_median,primary_paired_delta_excess_return_pct_mean,primary_paired_win_rate_excess_return_pct,primary_paired_delta_excess_sharpe_median,primary_paired_delta_excess_sharpe_mean,primary_paired_win_rate_excess_sharpe,primary_paired_delta_outperformed_benchmark_on_return_median,primary_paired_delta_outperformed_benchmark_on_return_mean,primary_paired_win_rate_outperformed_benchmark_on_return,primary_paired_delta_outperformed_benchmark_on_sharpe_median,primary_paired_delta_outperformed_benchmark_on_sharpe_mean,primary_paired_win_rate_outperformed_benchmark_on_sharpe,primary_paired_delta_hit_rate_vs_benchmark_median,primary_paired_delta_hit_rate_vs_benchmark_mean,primary_paired_win_rate_hit_rate_vs_benchmark,regime_count,regimes_with_positive_excess_return_delta,mean_regime_excess_return_delta,worst_regime_excess_return_delta,worst_regime_by_excess_return,mean_regime_hit_rate_delta,worst_regime_hit_rate_delta,worst_regime_max_drawdown_delta,mean_regime_turnover_delta,gate_score,turnover_only_warning,near_inactive_warning,screening_gate_pass_before_control,beats_negative_control_gate,screening_pass_candidate,decision_label
1,g2f_conservative_full,ssl_domain_g2f_conservative_full,"Combined conservative regularization tests whether stable, diversified action trajectories improve OOS robustness.",turnover_smoothness_concentration,0.01,0.03,0.01,0.03,0.2,configs/ssl_domain_g2f_conservative_full.yaml,SSL Domain Generalization/research_outputs_ssl_domain_g2f_conservative_full,SSL Domain Generalization/research_outputs_ssl_domain_g2f_conservative_full/launch_notebook_cell_portable.py,SSL Domain Generalization/research_outputs_ssl_domain_g2f_conservative_full/g2f.ipynb,ready_to_launch,14,1,True,complete,False,0.8902739756394094,-0.44754138397546894,2.5339073856283423,-0.728275013746138,-0.0497287614819492,0.0042307065322565035,12.397849462365592,0.21062593907649507,-0.6094175014432157,0.18202840221092087,-0.3420550615159797,-0.1276295261179701,0.6094175014432157,-0.18202840221092087,0.3420550615159797,0.1276295261179701,0.2142857142857142,-0.2142857142857143,0.2142857142857142,-0.2142857142857143,0.484375,-0.007558385376008281,1.103337230998743,0.8902739756394094,-0.11247477457020816,1.3378153596148783,-0.44754138397546894,0.11051635251831161,0.07024461560511007,0.5714285714285714,8,1.1315155607544116,2.5339073856283427,-0.34633590644993695,3.2621823993744803,-0.7282750137461376,-0.5160550062042188,0.16072021117341379,0.42857142857142855,6,-0.07696206882517721,-0.049728761481949144,0.0023909556221814593,-0.04800813803172885,-0.001720623450220296,0.004459568501009251,0.002156419105837633,0.6428571428571429,9,14.080262935422715,12.397849462365592,1.8306518564885277,11.38888888888889,1.0089605734767026,0.6904761904761889,2.106058534818828,0.6428571428571429,9,2.6226203586788985,2.526137675163214,-0.03101922428429571,2.7616726979586304,-0.23553502279541627,-0.19092230700903468,-0.16376549730547812,0.42857142857142855,6,7.209160389477253,8.465662332354352,-0.1793163488547318,8.491534295394132,-0.0258719630397799,-0.3167068492369589,-0.6254759454369426,0.42857142857142855,6,2.801576843838076,3.007695263147604,-0.18391278662439037,3.4608678086915505,-0.45317254554394637,-0.003960592573275523,-0.2607719241093294,0.5,7,0.3391095151249415,0.3771121490544923,-0.5179277959673285,0.3775946235969072,-0.0004824745424149013,0.12257658338118016,0.11245853924652219,0.7857142857142857,11,-0.5160550062042193,0.1607202111734137,0.42857142857142855,0.11051635251831138,0.07024461560511001,0.5714285714285714,0.0,-0.07142857142857142,0.07142857142857142,0.0,-0.07142857142857142,0.0,-0.007936507936507936,-0.0055213838135289494,0.42857142857142855,5,2,-9.545572363444917e-05,-0.0005992823623962,bear_high_vol,0.003389830508474567,0.0,-0.0015865823560219997,0.08474576271186507,-0.1863362282918398,False,False,False,True,False,screening_fail
2,g2c_smoothness_mild,ssl_domain_g2c_smoothness_mild,Action-acceleration penalty reduces buy/sell oscillation without directly forcing low turnover.,smoothness_mild,0.0,0.05,0.0,0.0,,configs/ssl_domain_g2c_smoothness_mild.yaml,SSL Domain Generalization/research_outputs_ssl_domain_g2c_smoothness_mild,SSL Domain Generalization/research_outputs_ssl_domain_g2c_smoothness_mild/launch_notebook_cell_portable.py,SSL Domain Generalization/research_outputs_ssl_domain_g2c_smoothness_mild/g2c.ipynb,ready_to_launch,14,1,True,complete,False,0.9531242829704668,-0.3846910766444115,2.4355072834644664,-0.8266751159100139,-0.0556750245037289,-0.0017155564895231998,10.167063492063493,-2.020160031225604,-0.7358598293834682,0.05558607427066842,-0.4055602953865895,-0.1911347599885799,0.7358598293834682,-0.05558607427066842,0.4055602953865895,0.1911347599885799,0.4285714285714285,0.0,0.3571428571428571,-0.0714285714285714,0.484375,-0.007558385376008281,1.1021266205903135,0.953124282970467,-0.11368538497863767,1.3378153596148783,-0.38469107664441127,0.13689763839463315,0.06903400519668072,0.5714285714285714,8,1.0506214546816826,2.4355072834644664,-0.427230012522666,3.2621823993744803,-0.8266751159100139,0.5568038419158974,0.07982610510068475,0.5714285714285714,8,-0.0812229820867524,-0.05567502450372895,-0.001869957639393724,-0.04800813803172885,-0.007666886472000103,-0.0005385845902884448,-0.00210449415573755,0.42857142857142855,6,10.286878680610267,10.167063492063493,-1.9627323983239204,11.38888888888889,-1.2218253968253965,-0.37704918032786683,-1.6873257199936198,0.42857142857142855,6,2.8741591508026993,2.476410008120116,0.2205195678395051,2.7616726979586304,-0.2852626898385142,-0.0286641797195889,0.08777329481832274,0.5,7,7.431068710521858,8.63601144803553,0.04259197218987332,8.491534295394132,0.14447715264139838,0.18202551832992064,-0.4035676243923369,0.6428571428571429,9,3.043747198413058,3.0245603485620602,0.05825756795059167,3.4608678086915505,-0.4363074601294903,-0.19413399445853896,-0.018601569534347582,0.42857142857142855,6,0.24884271363136287,0.4323270728946912,-0.6081945974609071,0.3775946235969072,0.05473244929778398,0.1253323547226433,0.022191737752943492,0.7857142857142857,11,0.556803841915898,0.0798261051006848,0.5714285714285714,0.13689763839463281,0.06903400519668068,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.008064516129032251,0.00497243064773945,0.5,5,3,0.0003983735554455241,-0.0009592355180039,bear_low_vol,-0.016666666666666673,-0.08333333333333337,-0.0011218883295863943,-0.4220338983050837,-0.26785240315494885,True,False,False,True,False,screening_fail
3,g2a_turnover_mild,ssl_domain_g2a_turnover_mild,Mild L1 turnover penalty reduces unnecessary rebalancing without suppressing useful adaptation.,turnover_mild,0.01,0.0,0.0,0.0,,configs/ssl_domain_g2a_turnover_mild.yaml,SSL Domain Generalization/research_outputs_ssl_domain_g2a_turnover_mild,SSL Domain Generalization/research_outputs_ssl_domain_g2a_turnover_mild/launch_notebook_cell_portable.py,SSL Domain Generalization/research_outputs_ssl_domain_g2a_turnover_mild/g2a.ipynb,ready_to_launch,14,1,True,complete,False,0.9283642898775668,-0.4094510697373115,2.084421107290857,-1.1777612920836233,-0.055219724336921,-0.0012602563227153002,13.52855841790268,1.341334894613583,-0.7529188137515908,0.03852708990254583,-0.4406399461954605,-0.2262144107974509,0.7529188137515908,-0.03852708990254583,0.4406399461954605,0.2262144107974509,0.4285714285714285,0.0,0.4285714285714285,0.0,0.4640296979006656,-0.027903687475342664,1.164034266644302,0.9283642898775668,-0.05177773892464921,1.3378153596148783,-0.4094510697373115,-0.03756124345118145,0.13094165125066878,0.42857142857142855,6,1.1884657419189004,2.084421107290857,-0.28938572528544815,3.2621823993744803,-1.1777612920836233,-0.4105441126602436,0.21767039233790256,0.42857142857142855,6,-0.07847833254787984,-0.055219724336921,0.0008746918994788355,-0.04800813803172885,-0.007211586305192155,0.00014003905200150359,0.0006401553831350203,0.5,7,13.338826593567095,13.52855841790268,1.089215514632908,11.38888888888889,2.1396695290137906,2.110343061955965,1.3646221929632067,0.6428571428571429,9,2.8239991738003494,2.5667616648880642,0.17035959083715513,2.7616726979586304,-0.19491103307056612,-0.05743966107327525,0.03761331781597255,0.42857142857142855,6,7.279881048873075,8.157643881293298,-0.10859568945890974,8.491534295394132,-0.33389041410083387,-0.4826594895879892,-0.5547552860411198,0.42857142857142855,6,3.1729262879766114,3.098056818100537,0.18743665751414484,3.4608678086915505,-0.36281099059101374,0.0017906906585914983,0.11057752002920587,0.5,7,0.25099074894989093,0.3431049391036455,-0.6060465621423791,0.3775946235969072,-0.03448968449326173,0.00954101323607115,0.02433977307147158,0.6428571428571429,9,-0.41054411266024204,0.21767039233790286,0.42857142857142855,-0.03756124345118144,0.13094165125066873,0.42857142857142855,0.0,0.14285714285714285,0.21428571428571427,0.0,0.14285714285714285,0.14285714285714285,0.008196721311475391,-0.00876453282705644,0.5,5,2,-0.00013302107185509646,-0.0016585320466137,bear_low_vol,0.0050282485875706275,-0.050000000000000044,-0.0008046638495811942,0.42161016949152563,-0.38215944149656683,False,False,False,True,False,screening_fail
4,g2g_overregularized_negative_control,ssl_domain_g2g_overregularized_negative_control,Negative control: very strong penalties should expose inactive-policy false positives.,overregularized_negative_control,0.12,0.1,0.05,0.1,0.12,configs/ssl_domain_g2g_overregularized_negative_control.yaml,SSL Domain Generalization/research_outputs_ssl_domain_g2g_overregularized_negative_control,SSL Domain Generalization/research_outputs_ssl_domain_g2g_overregularized_negative_control/launch_notebook_cell_portable.py,SSL Domain Generalization/research_outputs_ssl_domain_g2g_overregularized_negative_control/g2g.ipynb,ready_to_launch,14,1,True,complete,True,0.961836946581214,-0.3759784130336643,2.590517872364939,-0.6716645270095412,-0.0559380788699736,-0.0019786108557678997,11.352459016393444,-0.8347645068956524,-1.394037440926066,-0.6025915372719295,-0.4819590336807166,-0.267533498282707,1.394037440926066,0.6025915372719295,0.4819590336807166,0.267533498282707,0.2857142857142857,-0.1428571428571428,0.2857142857142857,-0.1428571428571428,0.484375,-0.007558385376008281,1.0603093066826914,0.961836946581214,-0.15550269888625978,1.3378153596148783,-0.3759784130336643,-0.08322150835838815,0.027216691289057984,0.42857142857142855,6,1.0289986415832528,2.5905178723649396,-0.44885282562109574,3.2621823993744803,-0.6716645270095407,-0.39650977957116185,0.05820329200225473,0.42857142857142855,6,-0.07608296640509644,-0.0559380788699736,0.0032700580422622277,-0.04800813803172885,-0.007929940838244755,-0.0004265295914494486,0.0030355215259184206,0.5,7,10.936829905591711,11.352459016393443,-1.3127811733424757,11.38888888888889,-0.0364298724954466,0.4455503512880572,-1.0373744950121773,0.5714285714285714,8,2.820646953746663,2.6205935561684073,0.16700737078346872,2.7616726979586304,-0.14107914179022307,0.0680820739801693,0.034261097762286426,0.6428571428571429,9,7.157291800171178,8.824286987491224,-0.23118493816080665,8.491534295394132,0.3327526920970918,0.07587810056532973,-0.6773445347430169,0.5,7,3.0069952275867657,3.0417533131689263,0.021505597124299225,3.4608678086915505,-0.41911449552262425,-0.13688982383352177,-0.05535354036063938,0.42857142857142855,6,0.25015952474645226,0.43214553137494727,-0.6068777863458177,0.3775946235969072,0.05455090777804006,0.11826397020731591,0.023508548868032914,0.6428571428571429,9,-0.3965097795711622,0.0582032920022546,0.42857142857142855,-0.08322150835838768,0.027216691289058015,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.007936507936507964,0.0025773640145287857,0.5,5,3,0.0001061693978761,-0.0009463105275814999,bear_high_vol,-0.029943502824858758,-0.11666666666666659,-0.0029229913850382996,-0.14957627118644048,-0.5724351395862983,True,False,False,True,False,negative_control_not_promotable
5,g2b_turnover_strong,ssl_domain_g2b_turnover_strong,Stronger turnover penalty tests dose-response and detects whether turnover reduction becomes performance damage.,turnover_strong,0.035,0.0,0.0,0.0,,configs/ssl_domain_g2b_turnover_strong.yaml,SSL Domain Generalization/research_outputs_ssl_domain_g2b_turnover_strong,SSL Domain Generalization/research_outputs_ssl_domain_g2b_turnover_strong/launch_notebook_cell_portable.py,SSL Domain Generalization/research_outputs_ssl_domain_g2b_turnover_strong/g2b.ipynb,ready_to_launch,14,1,True,complete,False,0.9340831645906762,-0.4037321950242021,2.8501561782359075,-0.4120262211385728,-0.0491212344742515,0.004838233539954204,11.432344522508457,-0.7548790007806403,-1.5006162915074173,-0.7091703878532807,-0.4701196863171936,-0.255694150919184,1.5006162915074173,0.7091703878532807,0.4701196863171936,0.255694150919184,0.0714285714285714,-0.3571428571428571,0.0714285714285714,-0.3571428571428571,0.4604334677419355,-0.03149991763407278,1.0512325466598642,0.9340831645906762,-0.16457945890908698,1.3378153596148783,-0.4037321950242021,-0.0014719148887892275,0.01813993126623114,0.5,7,0.5795411492722612,2.850156178235908,-0.8983103179320874,3.2621823993744803,-0.41202622113857235,0.13326263999764487,-0.3912542003087366,0.5,7,-0.07211094295423573,-0.049121234474251554,0.007242081493122943,-0.04800813803172885,-0.001113096442522707,0.003118336174648448,0.007007544976779105,0.5714285714285714,8,11.18435578003456,11.432344522508458,-1.0652552988996273,11.38888888888889,0.043455633619569056,-0.8117356232110309,-0.7898486205693274,0.5,7,2.6294018415123825,2.514205996023329,-0.0242377414508117,2.7616726979586304,-0.24746670193530118,-0.03766896957357757,-0.15698401447199492,0.42857142857142855,6,7.931845493285485,8.53205588534377,0.5433687549535007,8.491534295394132,0.040521589949637615,0.18622204165401612,0.09720915837129177,0.6428571428571429,9,2.912026006500389,3.001223058199148,-0.0734636239620774,3.4608678086915505,-0.4596447504924024,-0.2405234963923173,-0.15032276144701615,0.42857142857142855,6,0.7553674427604383,0.5104425065518674,-0.10166986833183167,0.3775946235969072,0.1328478829549602,-0.037745423541887424,0.528716466882019,0.42857142857142855,6,0.13326263999764443,-0.3912542003087366,0.5,-0.0014719148887893246,0.018139931266231073,0.5,0.0,-0.21428571428571427,0.0,0.0,-0.21428571428571427,0.0,-0.008064516129032306,-0.01547342121230654,0.35714285714285715,5,1,-0.00033200525287473994,-0.0006118106877632999,bull_high_vol,-0.03661016949152542,-0.19999999999999996,0.0,-0.14237288135593182,-0.6048368354238827,True,False,False,False,False,screening_fail
6,g2e_concentration_mild,ssl_domain_g2e_concentration_mild,Mild concentration penalty reduces overfit concentrated bets without eliminating active allocation.,concentration_mild,0.0,0.0,0.015,0.05,0.2,configs/ssl_domain_g2e_concentration_mild.yaml,SSL Domain Generalization/research_outputs_ssl_domain_g2e_concentration_mild,SSL Domain Generalization/research_outputs_ssl_domain_g2e_concentration_mild/launch_notebook_cell_portable.py,SSL Domain Generalization/research_outputs_ssl_domain_g2e_concentration_mild/g2e.ipynb,ready_to_launch,14,1,True,complete,False,0.2904923330095618,-1.0473230266053166,0.4761464294656903,-2.7860359699087898,-0.0683004006895256,-0.014340932675319898,10.52120739005985,-1.6660161332292471,-1.5461872402327337,-0.7547413365785971,-0.3043391532791663,-0.08991361788115668,1.5461872402327337,0.7547413365785971,0.3043391532791663,0.08991361788115668,0.2857142857142857,-0.1428571428571428,0.2857142857142857,-0.1428571428571428,0.4567212301587301,-0.03521215521727816,0.730060694694097,0.2904923330095619,-0.48575131087485424,1.3378153596148783,-1.0473230266053164,-0.20438985429747222,-0.3030319206995361,0.42857142857142855,6,0.11857859597582847,0.47614642946569036,-1.35927287122852,3.2621823993744803,-2.7860359699087898,-0.9411207964874326,-0.8522167536051695,0.42857142857142855,6,-0.08112280225640678,-0.0683004006895256,-0.0017697778090481064,-0.04800813803172885,-0.020292262657796753,0.0002615383638287002,-0.002004314325391945,0.5,7,10.95690697132017,10.52120739005985,-1.2927041076140178,11.38888888888889,-0.8676814988290396,-0.42622950819671956,-1.0172974292837178,0.42857142857142855,6,2.6621852828724237,2.372074176873629,0.008545699909229487,2.7616726979586304,-0.38959852108500126,-0.08479506056465169,-0.12420057311195323,0.42857142857142855,6,6.729746153727144,7.674731652178101,-0.6587305846048404,8.491534295394132,-0.8168026432160307,-0.3048138387404604,-1.1048901811870493,0.42857142857142855,6,2.879824358245654,3.079741663471002,-0.10566527221681232,3.4608678086915505,-0.38112614522054855,-0.11489669387537671,-0.1825244097017513,0.14285714285714285,2,0.027068600170004925,0.08395332971710626,-0.8299687109222651,0.3775946235969072,-0.293641293879801,0.07087908759154049,-0.1995823757084144,0.5714285714285714,8,-0.9411207964874326,-0.8522167536051695,0.42857142857142855,-0.20438985429747217,-0.3030319206995361,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,-0.032002048131080346,-0.027676375503488896,0.35714285714285715,5,3,0.00039648562023537036,-0.0001554834385981,bear_high_vol,0.004858757062146879,-0.16666666666666663,-0.014340932675319898,1.0711864406779665,-0.6159038423349948,True,False,False,False,False,screening_fail
7,g2d_turnover_smoothness,ssl_domain_g2d_turnover_smoothness,Mild turnover plus smoothness regularization improves action stability more reliably than either alone.,turnover_plus_smoothness,0.01,0.03,0.0,0.0,,configs/ssl_domain_g2d_turnover_smoothness.yaml,SSL Domain Generalization/research_outputs_ssl_domain_g2d_turnover_smoothness,SSL Domain Generalization/research_outputs_ssl_domain_g2d_turnover_smoothness/launch_notebook_cell_portable.py,SSL Domain Generalization/research_outputs_ssl_domain_g2d_turnover_smoothness/g2d.ipynb,ready_to_launch,14,1,True,complete,False,0.714978666302527,-0.6228366933123513,1.9994178875320177,-1.2627645118424626,-0.0638530243074095,-0.009893556293203792,10.424643046007404,-1.762580477281693,-2.018753822640451,-1.2273079189863145,-0.4704095942624756,-0.25598405886446596,2.018753822640451,1.2273079189863145,0.4704095942624756,0.25598405886446596,0.2857142857142857,-0.1428571428571428,0.2857142857142857,-0.1428571428571428,0.4560931899641577,-0.03584019541185057,1.100621730796651,0.714978666302527,-0.11519027477230015,1.3378153596148783,-0.6228366933123513,-0.06496498230405184,0.06752911540301816,0.5,7,0.7623720061429146,1.9994178875320179,-0.715479461061434,3.2621823993744803,-1.2627645118424624,0.09620266943666245,-0.20842334343808339,0.5,7,-0.08274803479459404,-0.06385302430740945,-0.0033950103472353693,-0.04800813803172885,-0.015844886275680606,-0.00048042336369684933,-0.003629546863579187,0.42857142857142855,6,12.279749883383639,10.424643046007404,0.03013880444945194,11.38888888888889,-0.9642458428814855,-0.4262295081967218,0.30554548277975063,0.5,7,2.432187536489149,2.4465387826196316,-0.22145204647404526,2.7616726979586304,-0.3151339153389987,-0.44087344218526825,-0.35419831949522745,0.42857142857142855,6,6.137767742895676,8.18394789401682,-1.2507089954363089,8.491534295394132,-0.3075864013773124,-1.3456951510576571,-1.6968685920185178,0.2857142857142857,4,2.6078679024599594,2.6860081665160127,-0.37762172800250715,3.4608678086915505,-0.7748596421755378,-0.378508690889402,-0.45448086548744604,0.2857142857142857,4,0.2330622854031251,0.29883020282136097,-0.6239750256891449,0.3775946235969072,-0.07876442077554624,-0.031837679199822395,0.006411309524705778,0.5,7,0.09620266943666245,-0.20842334343808364,0.5,-0.064964982304052,0.06752911540301818,0.5,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.0078125,-0.011929850161464191,0.5,5,2,-0.00023916676606333746,-0.0007818668051655,bear_low_vol,-0.10327683615819208,-0.3333333333333333,-0.009893556293203792,-0.03199152542372872,-0.8412510038377639,True,False,False,False,False,screening_fail
