fold_id,regime_label_exogenous,feature_set,runs,sharpe_median,max_drawdown_median,turnover_median,hit_rate_median
fold_01,bull_low_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.0027082607824461258,0.0,0.6666666666666666
fold_01,unknown,base_macro_rates_credit_vol_risk_state_context,3,1.282687208219915,-0.06486649786384957,14.254237288135593,0.559322033898305
fold_02,bear_high_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.012760533721363654,0.0,0.75
fold_02,bull_high_vol,base_macro_rates_credit_vol_risk_state_context,3,,0.0,,0.0
fold_02,unknown,base_macro_rates_credit_vol_risk_state_context,3,-0.920580714994707,-0.026714057575311534,9.322033898305085,0.4915254237288136
fold_03,bear_low_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.002919890340929987,0.0,0.3333333333333333
fold_03,unknown,base_macro_rates_credit_vol_risk_state_context,3,1.6205930941730644,-0.035883055394705154,13.186440677966102,0.4915254237288136
fold_04,bull_low_vol,base_macro_rates_credit_vol_risk_state_context,3,,0.0,0.0,0.8
fold_04,unknown,base_macro_rates_credit_vol_risk_state_context,3,3.6314641916437083,-0.01908630464318939,10.169491525423728,0.559322033898305
fold_05,bear_high_vol,base_macro_rates_credit_vol_risk_state_context,3,,0.0,,1.0
fold_05,bear_low_vol,base_macro_rates_credit_vol_risk_state_context,3,,0.0,0.0,0.0
fold_05,unknown,base_macro_rates_credit_vol_risk_state_context,3,-0.4733134876999505,-0.10834043917644143,11.016949152542374,0.559322033898305
fold_06,bull_low_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.0014631514283358626,0.0,0.8
fold_06,unknown,base_macro_rates_credit_vol_risk_state_context,3,4.128599109995805,-0.015717210689272898,12.711864406779661,0.5932203389830508
fold_07,bull_high_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.0023712322368816263,0.0,0.6666666666666666
fold_07,unknown,base_macro_rates_credit_vol_risk_state_context,3,3.607716073437707,-0.02933797911560876,9.322033898305085,0.5932203389830508
fold_08,bear_low_vol,base_macro_rates_credit_vol_risk_state_context,3,,0.0,,1.0
fold_08,bull_low_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.025345507013140978,0.0,0.25
fold_08,unknown,base_macro_rates_credit_vol_risk_state_context,3,-0.3847680893911844,-0.05134169103518493,11.457627118644067,0.4745762711864407
fold_09,bear_high_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.03986961167722103,0.8333333333333334,0.25
fold_09,unknown,base_macro_rates_credit_vol_risk_state_context,3,-0.9911381198336178,-0.31685573043298365,12.711864406779661,0.4576271186440678
fold_10,bear_high_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.011844185854878675,0.0,0.6
fold_10,unknown,base_macro_rates_credit_vol_risk_state_context,3,1.3825822014458158,-0.10169760666341832,11.203389830508474,0.559322033898305
fold_11,bull_low_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.002058905120990717,0.0,0.3333333333333333
fold_11,unknown,base_macro_rates_credit_vol_risk_state_context,3,1.8843605158088665,-0.05353280840147134,9.796610169491526,0.5423728813559322
fold_12,bear_high_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.013375811769393509,0.0,0.5
fold_12,unknown,base_macro_rates_credit_vol_risk_state_context,3,0.920046320949705,-0.037479071083309945,12.711864406779661,0.5423728813559322
fold_13,bull_high_vol,base_macro_rates_credit_vol_risk_state_context,3,,0.0,,1.0
fold_13,bull_low_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.0171919607855181,0.0,0.0
fold_13,unknown,base_macro_rates_credit_vol_risk_state_context,3,-0.5025997317695161,-0.09267397485742168,11.016949152542374,0.4406779661016949
fold_14,bear_high_vol,base_macro_rates_credit_vol_risk_state_context,3,,-0.03189158241060752,0.0,0.4
fold_14,unknown,base_macro_rates_credit_vol_risk_state_context,3,-0.9026864109785095,-0.12846389658690727,10.169491525423728,0.4745762711864407
