statistic,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,binary_majority_accuracy,binary_majority_balanced_accuracy,binary_majority_macro_f1,previous_accuracy,previous_balanced_accuracy,previous_macro_f1,binary_previous_accuracy,binary_previous_balanced_accuracy,binary_previous_macro_f1,markov_accuracy,markov_balanced_accuracy,markov_macro_f1,binary_markov_accuracy,binary_markov_balanced_accuracy,binary_markov_macro_f1,bc_mlp_natural_accuracy,bc_mlp_natural_balanced_accuracy,bc_mlp_natural_macro_f1,binary_bc_mlp_natural_accuracy,binary_bc_mlp_natural_balanced_accuracy,binary_bc_mlp_natural_macro_f1,bc_mlp_balanced_accuracy,bc_mlp_balanced_balanced_accuracy,bc_mlp_balanced_macro_f1,binary_bc_mlp_balanced_accuracy,binary_bc_mlp_balanced_balanced_accuracy,binary_bc_mlp_balanced_macro_f1
mean,0.6649038909294254,0.16533446712018138,0.13224208696320797,0.6649038909294254,0.5,0.3937972805012647,0.8931950405169411,0.5565905597172325,0.5568002636918452,0.960392346609012,0.9498021813322335,0.9497467325332776,0.8893596912294502,0.5248522352255646,0.5142108152404641,0.9576416194305445,0.9432223023289946,0.9467059847483279,0.6316585245062242,0.2513931915510029,0.21685551698942113,0.6832768038762599,0.6382688282429003,0.60436184546358,0.48163951813759176,0.2223346129435594,0.16898190806082986,0.5722669201648578,0.5665642738007485,0.5190889722837614
median,0.6905629282678463,0.15476190476190477,0.12944495980210266,0.6905629282678463,0.5,0.4084107327141383,0.9132275132275132,0.5184065100855565,0.5189771515169589,0.9672131147540983,0.9473969335975783,0.9473969335975783,0.9052910052910053,0.5023031957102212,0.4966345200555081,0.9726775956284153,0.9496710852673785,0.9581223681675735,0.6428571428571428,0.25264243825384036,0.2276384795021858,0.709378733572282,0.6445989502798528,0.6153795638162423,0.4809176858357186,0.21454229625827426,0.16485140446127328,0.5466376514763611,0.5557168321874204,0.4964395182127582
min,0.32275132275132273,0.1111111111111111,0.06971428571428571,0.32275132275132273,0.5,0.244,0.7903225806451613,0.40775955299206923,0.40775955299206923,0.9032258064516129,0.9033613445378151,0.9025043680838672,0.8064516129032258,0.40775955299206923,0.3810282282772989,0.8743169398907104,0.8254065040650407,0.8464148877941982,0.3333333333333333,0.15106042416966786,0.14582396835386136,0.3386243386243386,0.4688140368852459,0.3107623187560171,0.18579234972677597,0.09107080874696286,0.08760007447402718,0.32786885245901637,0.3320261437908497,0.3271455474845305
max,0.8360655737704918,0.25,0.22686567164179106,0.8360655737704918,0.5,0.45535714285714285,0.9508196721311475,0.8815494058786741,0.8815494058786741,0.9735449735449735,0.9718878073770492,0.972660205410097,0.9562841530054644,0.7098420888055035,0.698721632773357,0.9788359788359788,0.9762647262647263,0.9780844155844155,0.8611111111111112,0.3308270676691729,0.3092592592592593,0.9153439153439153,0.8652645861601085,0.889795918367347,0.8611111111111112,0.41044776119402987,0.2903493645015009,0.8611111111111112,0.8365671641791045,0.8258752303237694
