statistic,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,logistic_accuracy,logistic_balanced_accuracy,logistic_macro_f1,binary_majority_accuracy,binary_majority_balanced_accuracy,binary_majority_macro_f1,binary_logistic_accuracy,binary_logistic_balanced_accuracy,binary_logistic_macro_f1
mean,0.6649038909294254,0.16533446712018138,0.13224208696320797,0.16193562976633163,0.11270372779966058,0.06255118227099335,0.6649038909294254,0.5,0.3937972805012647,0.473776437538997,0.44365492520582467,0.3669875920013913
median,0.6905629282678463,0.15476190476190477,0.12944495980210266,0.15732206861239117,0.13718209566130385,0.0666401677850803,0.6905629282678463,0.5,0.4084107327141383,0.5404198109116143,0.4483366935483871,0.37728542744316185
min,0.32275132275132273,0.1111111111111111,0.06971428571428571,0.0,0.0,0.0,0.32275132275132273,0.5,0.244,0.12021857923497267,0.22439024390243903,0.11344145879096079
max,0.8360655737704918,0.25,0.22686567164179106,0.42777777777777776,0.29244663382594416,0.13393010720125975,0.8360655737704918,0.5,0.45535714285714285,0.7944444444444444,0.5549613784907903,0.5503626107977437
