source,n_clusters,train_token_count_mean,train_token_count_median,train_token_count_min,train_token_count_max,test_token_count_mean,test_token_count_median,test_token_count_min,test_token_count_max,train_token_entropy_bits_mean,train_token_entropy_bits_median,train_token_entropy_bits_min,train_token_entropy_bits_max,train_effective_tokens_mean,train_effective_tokens_median,train_effective_tokens_min,train_effective_tokens_max,train_dominant_token_share_mean,train_dominant_token_share_median,train_dominant_token_share_min,train_dominant_token_share_max,test_token_entropy_bits_mean,test_token_entropy_bits_median,test_token_entropy_bits_min,test_token_entropy_bits_max,test_effective_tokens_mean,test_effective_tokens_median,test_effective_tokens_min,test_effective_tokens_max,test_dominant_token_share_mean,test_dominant_token_share_median,test_dominant_token_share_min,test_dominant_token_share_max,reconstruction_mse_mean,reconstruction_mse_median,reconstruction_mse_min,reconstruction_mse_max,reconstruction_mae_mean,reconstruction_mae_median,reconstruction_mae_min,reconstruction_mae_max,mean_action_reconstruction_mse_mean,mean_action_reconstruction_mse_median,mean_action_reconstruction_mse_min,mean_action_reconstruction_mse_max,reconstruction_mse_ratio_vs_mean_mean,reconstruction_mse_ratio_vs_mean_median,reconstruction_mse_ratio_vs_mean_min,reconstruction_mse_ratio_vs_mean_max,majority_accuracy_mean,majority_accuracy_median,majority_accuracy_min,majority_accuracy_max,majority_balanced_accuracy_mean,majority_balanced_accuracy_median,majority_balanced_accuracy_min,majority_balanced_accuracy_max,majority_macro_f1_mean,majority_macro_f1_median,majority_macro_f1_min,majority_macro_f1_max,previous_token_accuracy_mean,previous_token_accuracy_median,previous_token_accuracy_min,previous_token_accuracy_max,previous_token_balanced_accuracy_mean,previous_token_balanced_accuracy_median,previous_token_balanced_accuracy_min,previous_token_balanced_accuracy_max,previous_token_macro_f1_mean,previous_token_macro_f1_median,previous_token_macro_f1_min,previous_token_macro_f1_max,markov_token_accuracy_mean,markov_token_accuracy_median,markov_token_accuracy_min,markov_token_accuracy_max,markov_token_balanced_accuracy_mean,markov_token_balanced_accuracy_median,markov_token_balanced_accuracy_min,markov_token_balanced_accuracy_max,markov_token_macro_f1_mean,markov_token_macro_f1_median,markov_token_macro_f1_min,markov_token_macro_f1_max,obs_logistic_accuracy_mean,obs_logistic_accuracy_median,obs_logistic_accuracy_min,obs_logistic_accuracy_max,obs_logistic_balanced_accuracy_mean,obs_logistic_balanced_accuracy_median,obs_logistic_balanced_accuracy_min,obs_logistic_balanced_accuracy_max,obs_logistic_macro_f1_mean,obs_logistic_macro_f1_median,obs_logistic_macro_f1_min,obs_logistic_macro_f1_max,obs_random_forest_accuracy_mean,obs_random_forest_accuracy_median,obs_random_forest_accuracy_min,obs_random_forest_accuracy_max,obs_random_forest_balanced_accuracy_mean,obs_random_forest_balanced_accuracy_median,obs_random_forest_balanced_accuracy_min,obs_random_forest_balanced_accuracy_max,obs_random_forest_macro_f1_mean,obs_random_forest_macro_f1_median,obs_random_forest_macro_f1_min,obs_random_forest_macro_f1_max
executed,4,4.0,4.0,4,4,3.357142857142857,3.0,2,4,0.7283579021143215,0.7351997434875854,0.6854336441717773,0.74300532201691,1.6568414624289662,1.6646291417027677,1.6081852959515675,1.6736586593834706,0.87738342289603,0.8762668997022323,0.8735489220563848,0.8875103391232424,0.6545200113625758,0.6442894474724778,0.4776502490390042,1.0137107569332724,1.5841255966247954,1.5633911703152052,1.3924738638499872,2.0190977497090428,0.877176389093742,0.8915343915343915,0.7431693989071039,0.9259259259259259,325.45011316946096,327.5480538625359,202.06682494439917,617.1989583058604,6.18306766329921,6.023494839738248,3.922213403996124,11.31535064997359,542.9404203798065,547.8906084254452,336.0112388436023,927.1352935409996,0.596251313017488,0.5925215241144111,0.4971783407888088,0.6784587393158069,0.877176389093742,0.8915343915343915,0.7431693989071039,0.9259259259259259,0.3095238095238095,0.3333333333333333,0.25,0.5,0.2888932143013098,0.2944096133751306,0.22767857142857142,0.4720670391061452,0.9661655060990257,0.9672131147540983,0.9617486338797814,0.9682539682539683,0.880928199415657,0.8886859875596456,0.8324404761904762,0.9412957074721781,0.880928199415657,0.8886859875596456,0.8324404761904762,0.9412957074721781,0.9661655060990257,0.9672131147540983,0.9617486338797814,0.9682539682539683,0.880928199415657,0.8886859875596456,0.8324404761904762,0.9412957074721781,0.880928199415657,0.8886859875596456,0.8324404761904762,0.9412957074721781,0.8985096788583229,0.9214260532346201,0.7619047619047619,0.9576719576719577,0.5556472396660934,0.5532547177125491,0.391955266955267,0.7663978494623657,0.4747728436283076,0.46802377776366216,0.25648584905660377,0.6567063827125748,0.8837870479292251,0.8987028503157535,0.7431693989071039,0.9289617486338798,0.33895502645502645,0.3333333333333333,0.25,0.7083333333333334,0.3234259590695619,0.26287347466482475,0.22767857142857142,0.7985499192929533
executed,8,8.0,8.0,8,8,3.7857142857142856,4.0,2,5,0.8679018106941143,0.8747923019763797,0.808152293337119,0.8917355031128728,1.8251876443708568,1.8337482657243966,1.750967484732622,1.8554067602565776,0.8773833861086565,0.8762668997022323,0.8735489220563848,0.8875103391232424,0.686976130939528,0.6649731647444408,0.4278385440590876,1.21579000145175,1.626408554573634,1.5856015299127937,1.3452166532290453,2.322679350266382,0.877176389093742,0.8915343915343915,0.7431693989071039,0.9259259259259259,337.8632305555642,340.59372883539277,206.72834520843764,671.5326617695775,5.837277994694068,5.653327534305664,3.6616093027758576,10.58198582839721,542.9404203798065,547.8906084254452,336.0112388436023,927.1352935409996,0.6175501487760366,0.6104083090949538,0.5180930922355917,0.7243092420792211,0.877176389093742,0.8915343915343915,0.7431693989071039,0.9259259259259259,0.2785714285714286,0.25,0.2,0.5,0.2604853176240424,0.23830218745472984,0.18214285714285713,0.47714285714285715,0.9650008413965504,0.9648148148148148,0.9617486338797814,0.9682539682539683,0.825889078806588,0.8762067603022433,0.6330357142857144,0.9285496216030271,0.825889078806588,0.8762067603022433,0.6330357142857144,0.9285496216030271,0.9650008413965504,0.9648148148148148,0.9617486338797814,0.9682539682539683,0.825889078806588,0.8762067603022433,0.6330357142857144,0.9285496216030271,0.825889078806588,0.8762067603022433,0.6330357142857144,0.9285496216030271,0.8823602112564869,0.9052910052910053,0.7096774193548387,0.946236559139785,0.38716593918952436,0.38195138195138195,0.25,0.65625,0.30176851340955846,0.27556668162558373,0.1638576779026217,0.48714707121786766,0.877176389093742,0.8915343915343915,0.7431693989071039,0.9259259259259259,0.2785714285714286,0.25,0.2,0.5,0.2604853176240424,0.23830218745472984,0.18214285714285713,0.47714285714285715
executed,16,16.0,16.0,16,16,4.071428571428571,4.0,3,6,1.0085690872423132,1.0061852254780168,0.9351733354483499,1.155945391240815,2.012985329546035,2.008596013123219,1.912120356868165,2.228302954525091,0.8758138896100788,0.8764741965513202,0.8528192371475953,0.8875103391232424,0.6761037152436268,0.6584339892754607,0.4505973974587702,1.0137107569332724,1.6093499838007386,1.5783834429304346,1.366606029796414,2.0190977497090428,0.8775543180430995,0.8915343915343915,0.7431693989071039,0.9259259259259259,345.42626892455235,355.89109920510714,207.80839373674442,648.6892854553375,5.379684731960879,5.200873941022565,3.4712466168184,9.859562395204977,542.9404203798065,547.8906084254452,336.0112388436023,927.1352935409996,0.6310923564490231,0.6198419400840864,0.5561822503013258,0.7263297168816699,0.8775543180430995,0.8915343915343915,0.7431693989071039,0.9259259259259259,0.26071428571428573,0.25,0.16666666666666666,0.3333333333333333,0.2434268605098641,0.2366608275731465,0.15178571428571427,0.32051282051282054,0.9638670545484779,0.9648148148148148,0.9523809523809523,0.9682539682539683,0.7646403819974024,0.8382981601731602,0.44753740235667944,0.9412957074721781,0.7646403819974024,0.8382981601731602,0.44753740235667944,0.9412957074721781,0.9638670545484779,0.9648148148148148,0.9523809523809523,0.9682539682539683,0.7646403819974024,0.8382981601731602,0.44753740235667944,0.9412957074721781,0.7646403819974024,0.8382981601731602,0.44753740235667944,0.9412957074721781,0.870798463342091,0.8888888888888888,0.7043010752688172,0.9453551912568307,0.321203638394178,0.3333333333333333,0.1764751312944084,0.5333333333333333,0.21398031647039445,0.2086729724995621,0.12534562211981568,0.3819468615848707,0.8775543180430995,0.8915343915343915,0.7431693989071039,0.9259259259259259,0.26071428571428573,0.25,0.16666666666666666,0.3333333333333333,0.2434268605098641,0.2366608275731465,0.15178571428571427,0.32051282051282054
raw_policy,4,4.0,4.0,4,4,2.5,2.0,1,4,1.839179580304162,1.829736063942518,1.5790123110420302,1.98242787394065,3.586927282855505,3.5547589618434845,2.9876524088416354,3.951575228671762,0.4245229917121331,0.4327956989247312,0.31260364842454397,0.5924543946932007,1.1271193246057745,0.9373766194268744,-0.0,1.7860528098320396,2.311347661242396,1.9152102718236037,1.0,3.4487004173910436,0.5787735236288534,0.6444444444444444,0.3333333333333333,1.0,0.8246493824204455,0.8661269348795662,0.5719154837828381,1.0143173709326427,0.8034158761560471,0.8155189756712212,0.6343462844011254,0.9329206514381003,0.8313733724566467,0.8404027061719246,0.5507950044939137,1.0168938084710009,0.9922295127343103,1.0007826007957719,0.888032861378173,1.0552648613700568,0.462234865154711,0.3664845173041894,0.0,0.8518518518518519,0.38095238095238093,0.41666666666666663,0.0,0.5,0.25583726808286844,0.22586100861008612,0.0,0.46,0.9846353994914846,0.9889799635701275,0.9629629629629629,0.9947089947089947,0.9790535857042607,0.9865990111891751,0.945558608058608,0.9920634920634921,0.9445398422951189,0.9834202597733772,0.496,0.9940237154150198,0.9846353994914846,0.9889799635701275,0.9629629629629629,0.9947089947089947,0.9790535857042607,0.9865990111891751,0.945558608058608,0.9920634920634921,0.9445398422951189,0.9834202597733772,0.496,0.9940237154150198,0.6614941264125369,0.6643681151877874,0.14207650273224043,0.9841269841269841,0.6366547608354601,0.6584029707164036,0.21346153846153848,0.9801587301587302,0.451690963302067,0.45672851976570994,0.08415915915915916,0.9820711462450593,0.546890470154805,0.5637669663317468,0.1092896174863388,0.7777777777777778,0.49180503650306806,0.4547137156867458,0.2282051282051282,0.8174603174603174,0.35144696538199083,0.3681679600886918,0.07352103764631446,0.5700602409638554
raw_policy,8,8.0,8.0,8,8,2.5714285714285716,2.5,1,4,2.6508735531548275,2.6739944618899036,2.4314235220798897,2.8086751776258323,6.302736700182687,6.381966451700098,5.394254248725776,7.006408851996815,0.3391881928354187,0.3356228575896366,0.2554865424430642,0.4826302729528536,1.0416939132876972,0.9592012188809638,-0.0,1.7362012804501379,2.160068593780424,1.9442416879399733,1.0,3.3315678613743147,0.6295060182836869,0.629373613244581,0.3333333333333333,1.0,0.8332740030135624,0.8521208931686388,0.5345095084643436,1.0642255990309781,0.7877641092152261,0.8074791668981557,0.5879807822321959,0.9295493016376721,0.8313733724566467,0.8404027061719246,0.5507950044939137,1.0168938084710009,0.9999955762985316,1.004111242580589,0.897186926739484,1.0725489012669105,0.5119211501511116,0.5027322404371585,0.1092896174863388,1.0,0.4404761904761905,0.41666666666666663,0.25,1.0,0.30121764815436697,0.2659244264507422,0.04926108374384237,1.0,0.985812255450391,0.9865079365079366,0.9682539682539683,1.0,0.9703857251840755,0.9838032085161665,0.8830409356725145,1.0,0.9683484845308123,0.9834889874275865,0.8830409356725145,1.0,0.985812255450391,0.9865079365079366,0.9682539682539683,1.0,0.9703857251840755,0.9838032085161665,0.8830409356725145,1.0,0.9683484845308123,0.9834889874275865,0.8830409356725145,1.0,0.5838623239412694,0.5831815421979356,0.2903225806451613,0.9398907103825137,0.5483322618378897,0.5453984625454511,0.15254237288135594,0.9180709255533199,0.31629608075673527,0.2749901677689115,0.12,0.707109537072058,0.5880212311730028,0.5942140296979006,0.12021857923497267,1.0,0.5420504954627857,0.5381263138780907,0.25,1.0,0.3566368960551716,0.29170506415571296,0.14157303370786517,1.0
raw_policy,16,16.0,16.0,16,16,2.5714285714285716,3.0,1,3,3.611047778443093,3.6129871639936764,3.380388665837129,3.8540844730661252,12.285916468551845,12.239754103849002,10.413539900701997,14.460890321149307,0.24147133694285858,0.24110835401157982,0.15630182421227198,0.35401157981803144,1.0856170173489792,1.116674852281985,-0.0,1.584962500721156,2.191753241138725,2.1685415832992336,1.0,3.0,0.6064154788185913,0.6505376344086021,0.3333333333333333,1.0,0.8525187950876149,0.8587357234395797,0.45084192113520083,1.093214759986229,0.7454580131438221,0.7619921614152356,0.47413384541287984,0.893648713841633,0.8313733724566467,0.8404027061719246,0.5507950044939137,1.0168938084710009,1.0196733128646802,1.0233878021912948,0.818529430108843,1.1306093117538982,0.5589203423304806,0.629373613244581,0.2804232804232804,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.31780399624871564,0.2575075718612492,0.14600550964187328,1.0,0.9892631904398165,0.9890710382513661,0.9788359788359788,1.0,0.9716565870470758,0.9890710382513661,0.9108187134502924,1.0,0.9721918216497575,0.9891140140407003,0.912356269941605,1.0,0.9892631904398165,0.9890710382513661,0.9788359788359788,1.0,0.9716565870470758,0.9890710382513661,0.9108187134502924,1.0,0.9721918216497575,0.9891140140407003,0.912356269941605,1.0,0.37461066922802966,0.35537340619307833,0.14285714285714285,0.5901639344262295,0.357032205993387,0.35519125683060104,0.13934426229508198,0.628903200624512,0.14857520546586606,0.13718151746637502,0.0606060606060606,0.30161227661227663,0.5017067559146581,0.6190476190476191,0.0,1.0,0.4531302955061699,0.4918010752688172,0.0,1.0,0.29366940450512047,0.24969938478747203,0.0,1.0
