feature_set,feature_family,is_negative_control,regime_label_exogenous,runs,folds,seeds,n_days_median,mean_daily_return_median,sharpe_median,max_drawdown_median,turnover_median,hit_rate_median,excess_return_vs_benchmark_median
base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,bear_high_vol,18,6,3,4.0,0.001384111387392342,,-0.013226809665872419,0.0,0.55,-0.001271559326137883
base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,bear_low_vol,9,3,3,1.0,0.00025487751455003743,,0.0,0.0,0.3333333333333333,-0.00020737786778803058
base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,bull_high_vol,9,3,3,1.0,0.003298668529430319,,0.0,0.0,0.6666666666666666,-0.00047534997770224676
base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,bull_low_vol,18,6,3,3.5,0.0007090397789309348,,-0.003240170678338705,0.0,0.6,0.00018087349397438016
base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,unknown,42,14,3,59.0,0.00034587851884787334,0.8338325972459375,-0.05495922740225029,12.067796610169491,0.5423728813559322,-0.0001661874571656411
