primitive_id,primitive_type,example_type,example_rank,behavior_window_id,run_key,feature_set,feature_family,fold_id,seed,date,window_start_date,window_end_date,window_length,reward_daily_return,reward_benchmark_return,reward_excess_return_vs_benchmark,same_day_excess_return_vs_benchmark,current_drawdown,regime_label_exogenous,market_regime,analysis_regime,action_l1_wmean,action_change_l1_wmean,action_jitter_l2_wmean,turnover_wmean,portfolio_hhi_wmean,portfolio_max_weight_wmean,portfolio_benchmark_deviation_l1_wmean,portfolio_sector_max_weight_wmean,vix_wmean,sp500_trend_wmean
primitive_01,mixed_primitive,worst_excess_return_window,2,base_macro__fold_10__seed999__w0042,base_macro__fold_10__seed999,base_macro,macro_context,fold_10,999,2020-09-02,2020-08-27,2020-09-02,5,-0.0370093832322824,-0.0263849014061211,-0.0106244818261612,-0.0065048750255522,0.0,unknown,0.0,market_regime_0,10.6,2.6,2.765458372283329,1.3,0.0818782050408883,0.1175063753879182,1.063309559448702,0.2849566746664836,25.30599975585937,0.1409567665300985
primitive_01,mixed_primitive,worst_excess_return_window,3,base_macro__fold_11__seed999__w0048,base_macro__fold_11__seed999,base_macro,macro_context,fold_11,999,2021-03-15,2021-03-09,2021-03-15,5,-0.0123603188935316,-0.0025750034065964,-0.0097853154869351,-0.0035315999319461,0.0,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0852686500549305,0.1380959975366178,1.0502116089469895,0.3142344126476104,21.844000244140624,0.1247475679671249
primitive_02,bad_or_noisy_primitive,best_excess_return_window,1,base_macro__fold_11__seed123__w0031,base_macro__fold_11__seed123,base_macro,macro_context,fold_11,123,2021-02-18,2021-02-11,2021-02-18,5,0.0123484357154692,-0.0019601330269059,0.0143085687423752,-0.0068622519796585,-0.009738640220957,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0903735540134763,0.1425184123938072,1.1017876178822104,0.2847670560391993,21.333999633789062,0.1521344693528735
primitive_02,bad_or_noisy_primitive,best_excess_return_window,2,base_macro__fold_11__seed123__w0046,base_macro__fold_11__seed123,base_macro,macro_context,fold_11,123,2021-03-11,2021-03-05,2021-03-11,5,0.0179331238389419,0.0064473749890092,0.0114857488499327,0.0014292320242363,0.0,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0924657608706772,0.1482990339242243,1.111418844860178,0.2982607189186471,23.72599983215332,0.1134225174262952
primitive_02,bad_or_noisy_primitive,best_excess_return_window,3,base_macro__fold_05__seed999__w0017,base_macro__fold_05__seed999,base_macro,macro_context,fold_05,999,2018-01-30,2018-01-24,2018-01-30,5,0.0101322561452092,-0.0005095748199437,0.010641830965153,0.0034318459813986,-0.0179151363365305,unknown,1.0,market_regime_1,0.0,0.0,0.0,0.0,0.090168608141844,0.2073969724949935,0.9389728401073262,0.4494436440200823,12.552000045776367,0.1287994095567598
primitive_02,bad_or_noisy_primitive,worst_excess_return_window,1,base_macro__fold_07__seed123__w0038,base_macro__fold_07__seed123,base_macro,macro_context,fold_07,123,2019-03-01,2019-02-25,2019-03-01,5,-0.0177563920002615,-0.0058296589236346,-0.0119267330766269,0.0021860325257117,-0.0048983565967125,unknown,1.0,market_regime_1,0.0,0.0,0.0,0.0,0.1109437237095053,0.1891515269061912,1.2048596428584248,0.2666748591620272,14.613999938964843,0.016436699833329
primitive_02,bad_or_noisy_primitive,worst_excess_return_window,2,base_macro__fold_11__seed123__w0048,base_macro__fold_11__seed123,base_macro,macro_context,fold_11,123,2021-03-15,2021-03-09,2021-03-15,5,-0.0131926401974986,-0.0025750034065964,-0.0106176367909021,-0.0084565683975764,-0.001998662676653,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0932870149960772,0.1484136650682939,1.11233421659656,0.2960865673725633,21.844000244140624,0.1247475679671249
primitive_02,bad_or_noisy_primitive,worst_excess_return_window,3,base_macro__fold_11__seed123__w0053,base_macro__fold_11__seed123,base_macro,macro_context,fold_11,123,2021-03-22,2021-03-16,2021-03-22,5,-0.0171362562511568,-0.0073804991788945,-0.0097557570722623,-0.0072760097463943,-0.0240870329705502,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0936837096114844,0.1489622500472465,1.111501211109583,0.2939486747122037,20.08600006103516,0.1221296124386736
primitive_03,bad_or_noisy_primitive,best_excess_return_window,1,base_macro__fold_09__seed999__w0048,base_macro__fold_09__seed999,base_macro,macro_context,fold_09,999,2020-03-16,2020-03-10,2020-03-16,5,0.0689967504067812,0.0539145958077331,0.015082154599048,-0.0043406144620358,-0.2787018399089505,unknown,0.0,market_regime_0,0.6,1.0,1.5464101615137753,0.5,0.0979671773025866,0.1705812153806158,1.1496671529905296,0.3402062737368644,63.43800125122071,-0.1342805427441583
primitive_03,bad_or_noisy_primitive,best_excess_return_window,2,base_macro__fold_09__seed42__w0049,base_macro__fold_09__seed42,base_macro,macro_context,fold_09,42,2020-03-17,2020-03-11,2020-03-17,5,-0.0440997198603566,-0.0559596557087842,0.0118599358484276,0.0039681893252465,-0.2058947296612202,unknown,0.0,market_regime_0,0.8,1.6,2.5298221281347035,0.8,0.0954695106198013,0.1449985010364937,1.182062985077632,0.3141800898944232,69.16000213623047,-0.15711841014253
