behavior_window_id,run_key,feature_set,feature_family,fold_id,seed,date,window_start_date,window_end_date,window_length,primitive_id,primitive_type,reward_daily_return,reward_benchmark_return,reward_excess_return_vs_benchmark,same_day_excess_return_vs_benchmark,current_drawdown,regime_label_exogenous,market_regime,analysis_regime,action_l1_wmean,action_change_l1_wmean,action_jitter_l2_wmean,turnover_wmean,portfolio_hhi_wmean,portfolio_max_weight_wmean,portfolio_benchmark_deviation_l1_wmean,portfolio_sector_max_weight_wmean,vix_wmean,sp500_trend_wmean
base_macro__fold_01__seed123__w0019,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-01,2016-01-26,2016-02-01,5,primitive_00,profitable_reliable_candidate,-0.021420832622172,-0.0218649380518631,0.0004441054296911,-0.0004789725922509,-0.0074389786678091,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.084270634788715,0.1173768630730714,1.051029155041811,0.2741859364678801,21.642000198364254,-0.0657437972727532
base_macro__fold_01__seed123__w0020,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-02,2016-01-27,2016-02-02,5,primitive_00,profitable_reliable_candidate,0.0081209401531556,0.0073894079103316,0.0007315322428239,0.0004441054296911,-0.0287004621730582,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0842418011978897,0.1168179217990529,1.051419497244503,0.2734770758106158,21.538000106811523,-0.0653832234821739
base_macro__fold_01__seed123__w0021,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-03,2016-01-28,2016-02-03,5,primitive_00,profitable_reliable_candidate,0.0015173041446028,0.0039657571574177,-0.0024484530128148,0.0007315322428239,-0.0208125967555775,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0843271336877995,0.1163161909093412,1.0525974887415483,0.2752574535588256,21.245999908447267,-0.0620818716318344
base_macro__fold_01__seed123__w0022,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-04,2016-01-29,2016-02-04,5,primitive_00,profitable_reliable_candidate,-0.0180566128642916,-0.0202253970558678,0.0021687841915762,-0.0024484530128148,-0.019326871650292,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0844438200462,0.1160382291082997,1.0543684021766215,0.2772577720838807,21.129999923706052,-0.0595195810754459
base_macro__fold_01__seed123__w0023,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-05,2016-02-01,2016-02-05,5,primitive_00,profitable_reliable_candidate,-0.0121017677456747,-0.01332035887267,0.0012185911269952,0.0021687841915762,-0.0370345066753163,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0844798761224037,0.1160131054471996,1.0551153327014835,0.2795812994243613,21.765999603271485,-0.0649806726661616
base_macro__fold_01__seed123__w0024,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-08,2016-02-02,2016-02-08,5,primitive_00,profitable_reliable_candidate,0.000682351817461,0.0008443919121378,-0.0001620400946767,0.0012185911269952,-0.0486880914226308,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.084409895916787,0.1154355360127057,1.055473219134888,0.2820131736781068,22.969999694824217,-0.0729267184896884
base_macro__fold_01__seed123__w0025,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-09,2016-02-03,2016-02-09,5,primitive_00,profitable_reliable_candidate,-0.0014097147322261,-0.0021689605944186,0.0007592458621925,-0.0001620400946767,-0.0480389620128407,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0843865878216417,0.115369665820437,1.0559485210811923,0.2845625259119381,23.881999969482425,-0.0774006675097846
base_macro__fold_01__seed123__w0026,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-10,2016-02-04,2016-02-10,5,primitive_00,profitable_reliable_candidate,-0.0171335703670846,-0.0092264127115787,-0.0079071576555058,0.0007592458621925,-0.0493809555125968,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0843233655377693,0.1152168511435477,1.0558969580107789,0.2856104180295268,24.81000022888184,-0.0828099924116323
base_macro__fold_01__seed123__w0027,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-11,2016-02-05,2016-02-11,5,primitive_00,profitable_reliable_candidate,0.0184818651436187,0.0193065875853767,-0.000824722441758,-0.0079071576555058,-0.0656684538036124,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0840419182133064,0.1139041321659811,1.054490206929737,0.2853269704376072,26.070000076293944,-0.0906993839571587
base_macro__fold_01__seed123__w0028,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-12,2016-02-08,2016-02-12,5,primitive_00,profitable_reliable_candidate,0.0164266552772542,0.0149311028484482,0.001495552428806,-0.000824722441758,-0.048400264167382,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0837865819288058,0.1126017190435852,1.0531575803030406,0.2839894911668102,26.47400016784668,-0.0916075260621261
base_macro__fold_01__seed123__w0029,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-16,2016-02-09,2016-02-16,5,primitive_00,profitable_reliable_candidate,0.0149106905967555,0.0181255375829084,-0.0032148469861529,0.001495552428806,-0.0327686633449332,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0836756853483323,0.1121902124886949,1.052170758062492,0.2828228867651591,26.096000289916997,-0.0869082635556166
base_macro__fold_01__seed123__w0030,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-17,2016-02-10,2016-02-17,5,primitive_00,profitable_reliable_candidate,-0.0046730342426648,-0.0044755043944367,-0.000197529848228,-0.0032148469861529,-0.0183465761485831,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0835487219355116,0.1119027143001223,1.051104955123736,0.2816899927917256,25.25,-0.079049248480252
base_macro__fold_01__seed123__w0031,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-18,2016-02-11,2016-02-18,5,primitive_00,profitable_reliable_candidate,0.0004815861486546,0.0004357262835307,4.585986512394626e-05,-0.000197529848228,-0.0229338762126699,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0834277998074981,0.1113656445995141,1.050162561187237,0.2814774528316925,24.319999694824222,-0.0720638693654249
base_macro__fold_01__seed123__w0032,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-19,2016-02-12,2016-02-19,5,primitive_01,mixed_primitive,0.0082561528715996,0.0132349782037308,-0.0049788253321312,4.585986512394626e-05,-0.0224633347011343,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0834445579331216,0.1113229948276936,1.0503977792115693,0.2817996583772893,22.797999954223634,-0.0628928850376132
base_macro__fold_01__seed123__w0033,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-22,2016-02-16,2016-02-22,5,primitive_01,mixed_primitive,-0.0094091339177447,-0.0120123193053804,0.0026031853876356,-0.0049788253321312,-0.0143926425548331,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0834077762805629,0.1109436280791464,1.0501246811606424,0.2821813348451445,21.5939998626709,-0.0545448817286607
base_macro__fold_01__seed123__w0034,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-23,2016-02-17,2016-02-23,5,primitive_00,profitable_reliable_candidate,0.0016777619357375,0.0021657904952049,-0.0004880285594674,0.0026031853876356,-0.0236663541713492,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0833454259096966,0.1101197359803425,1.049644909205488,0.2824244907931592,20.96799964904785,-0.0516215808880615
base_macro__fold_01__seed123__w0035,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-24,2016-02-18,2016-02-24,5,primitive_00,profitable_reliable_candidate,0.0094503166484158,0.0139742048116511,-0.0045238881632352,-0.0004880285594674,-0.022028298743798,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0832709787977012,0.1094014449191262,1.048936192197686,0.282239054531996,20.649999618530277,-0.050927556241618
base_macro__fold_01__seed123__w0036,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-25,2016-02-19,2016-02-25,5,primitive_01,mixed_primitive,-0.0015097839480898,-0.0036924404384514,0.0021826564903615,-0.0045238881632352,-0.0127861564937368,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0832151974611628,0.1092515113130624,1.0481220609673918,0.2815387709318923,20.1439998626709,-0.0472076753342417
base_macro__fold_01__seed123__w0037,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-26,2016-02-22,2016-02-26,5,primitive_01,mixed_primitive,-0.0088914367320548,-0.0082338561592966,-0.0006575805727582,0.0021826564903615,-0.0142766361079947,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0832711231049395,0.1095638148891386,1.0480887391491165,0.2813029493226603,19.999999618530275,-0.0438511345883475
base_macro__fold_01__seed123__w0038,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-02-29,2016-02-23,2016-02-29,5,primitive_00,profitable_reliable_candidate,0.0249402520373933,0.025858811593823,-0.0009185595564296,-0.0006575805727582,-0.0230411330333488,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0833425687553982,0.1099664010205388,1.0481727381385348,0.2813624809793141,20.23399963378906,-0.0447714162858039
base_macro__fold_01__seed123__w0039,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-01,2016-02-24,2016-03-01,5,primitive_02,bad_or_noisy_primitive,-1.3049511697116324e-05,0.0024182012267309,-0.0024312507384281,-0.0009185595564296,0.0,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0833929963351879,0.1109432022870307,1.048463170093863,0.2812434710252918,19.577999877929688,-0.0387599839118322
base_macro__fold_01__seed123__w0040,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-02,2016-02-25,2016-03-02,5,primitive_02,bad_or_noisy_primitive,0.0008777594282696,0.0024557990743699,-0.0015780396461002,-0.0024312507384281,-1.30495116970053e-05,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0834173422113363,0.1117937330535686,1.0488699595317317,0.2813956795065174,18.852000045776368,-0.0328106926390659
base_macro__fold_01__seed123__w0041,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-03,2016-02-26,2016-03-03,5,primitive_02,bad_or_noisy_primitive,0.0028790632186674,0.0024484773962993,0.0004305858223681,-0.0015780396461002,0.0,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0834204138538449,0.1125954184155848,1.0492379591992251,0.281657787169651,18.370000076293945,-0.0283412274516801
base_macro__fold_01__seed123__w0042,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-04,2016-02-29,2016-03-04,5,primitive_02,bad_or_noisy_primitive,0.0045387143331205,0.001524603272502,0.0030141110606184,0.0004305858223681,0.0,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0833708521171459,0.1132228699823394,1.0491930627027926,0.2820571632438765,17.780000305175783,-0.0228695935216944
base_macro__fold_01__seed123__w0043,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-07,2016-03-01,2016-03-07,5,primitive_02,bad_or_noisy_primitive,-0.0045215838909472,-0.005034301380671,0.0005127174897238,0.0030141110606184,0.0,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0833171249664462,0.1133416626609029,1.0495511792575205,0.282404525154,17.140000534057616,-0.0156792694685551
base_macro__fold_01__seed123__w0044,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-08,2016-03-02,2016-03-08,5,primitive_02,bad_or_noisy_primitive,0.0015617312994316,0.0034932561421815,-0.0019315248427499,0.0005127174897238,-0.0045215838909471,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0832430615318833,0.1128125044833891,1.0496085078479789,0.2829455693969921,17.334000396728516,-0.0152627863723905
base_macro__fold_01__seed123__w0045,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-09,2016-03-03,2016-03-09,5,primitive_02,bad_or_noisy_primitive,0.0018608740034555,-4.20833611338403e-05,0.0019029573645894,-0.0019315248427499,-0.0029669140906007,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0831432841580932,0.112270507722321,1.0494725590972187,0.2836585413569302,17.584000396728516,-0.0146564338140841
base_macro__fold_01__seed123__w0046,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-10,2016-03-04,2016-03-10,5,primitive_02,bad_or_noisy_primitive,0.0137202240869502,0.0132829721499982,0.0004372519369519,0.0019029573645894,-0.0011115611404471,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0830501852668818,0.1115564714215335,1.049333017535523,0.2840164327853985,17.854000091552734,-0.0147162728616335
base_macro__fold_01__seed123__w0047,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-11,2016-03-07,2016-03-11,5,primitive_02,bad_or_noisy_primitive,0.0020648713155362,0.0009564505339597,0.0011084207815764,0.0004372519369519,0.0,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0829709009056294,0.1107542725800719,1.0492646050796646,0.2840265695001364,17.78199996948242,-0.0122106259248857
base_macro__fold_01__seed123__w0048,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-14,2016-03-08,2016-03-14,5,primitive_02,bad_or_noisy_primitive,-0.0007323142939206,0.001443970955356,-0.0021762852492766,0.0011084207815764,0.0,unknown,1.0,market_regime_1,0.0,0.0,0.0,0.0,0.0829302128656227,0.1104613559347259,1.0490078086901604,0.2841063643523352,17.695999908447266,-0.0101430708345689
base_macro__fold_01__seed123__w0049,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-15,2016-03-09,2016-03-15,5,primitive_02,bad_or_noisy_primitive,0.0021825439761222,0.0046724741511777,-0.0024899301750555,-0.0021762852492766,-0.0007323142939206,unknown,1.0,market_regime_1,0.0,0.0,0.0,0.0,0.08291611422292,0.1106326807166866,1.0488128900469,0.2841958517362529,17.329999923706055,-0.0062460519969639
base_macro__fold_01__seed123__w0050,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-03-16,2016-03-10,2016-03-16,5,primitive_02,bad_or_noisy_primitive,0.0067819161261626,0.0064547157718312,0.0003272003543313,-0.0024899301750555,0.0,unknown,1.0,market_regime_1,0.0,0.0,0.0,0.0,0.082966506331749,0.1110467585115491,1.048983472296548,0.2843234017231153,16.65999984741211,-0.0022444817526878
