primitive_id,concept,primitive_concept_rate,base_concept_rate,concept_lift,windows
primitive_00,risk_off,0.5209876543209877,0.17401668653158522,2.9938948080500594,405
primitive_00,high_vix,0.8592592592592593,0.3301549463647199,2.602593929669742,405
primitive_00,high_concentration,0.6320987654320988,0.3301549463647199,1.9145518563087756,405
primitive_00,high_benchmark_deviation,0.4962962962962963,0.3301549463647199,1.5032223559299371,405
primitive_00,market_down,0.5728395061728395,0.44219308700834326,1.295451066520249,405
primitive_00,high_turnover,1.0,1.0,1.0,405
primitive_00,high_action_jitter,1.0,1.0,1.0,405
primitive_00,drawdown_stress,0.06666666666666667,0.3301549463647199,0.20192539109506616,405
primitive_01,high_vix,0.4369885433715221,0.3301549463647199,1.3235862378653682,611
primitive_01,risk_off,0.18166939443535188,0.17401668653158522,1.0439768625428782,611
primitive_01,high_turnover,1.0,1.0,1.0,611
primitive_01,high_action_jitter,1.0,1.0,1.0,611
primitive_01,market_down,0.4353518821603928,0.44219308700834326,0.9845289194947966,611
primitive_01,drawdown_stress,0.3191489361702128,0.3301549463647199,0.966664106306168,611
primitive_01,high_benchmark_deviation,0.12274959083469722,0.3301549463647199,0.37179388704083377,611
primitive_01,high_concentration,0.08019639934533551,0.3301549463647199,0.24290533953334473,611
primitive_02,high_benchmark_deviation,0.4675572519083969,0.3301549463647199,1.4161752142640613,1048
primitive_02,high_concentration,0.4637404580152672,0.3301549463647199,1.4046146002700692,1048
primitive_02,drawdown_stress,0.35591603053435117,0.3301549463647199,1.0780272549397856,1048
primitive_02,high_turnover,1.0,1.0,1.0,1048
primitive_02,high_action_jitter,1.0,1.0,1.0,1048
primitive_02,market_down,0.41412213740458015,0.44219308700834326,0.9365187959095492,1048
primitive_02,risk_off,0.033396946564885496,0.17401668653158522,0.19191806964341734,1048
primitive_02,high_vix,0.05438931297709924,0.3301549463647199,0.16473874941439082,1048
primitive_03,risk_off,0.5555555555555556,0.17401668653158522,3.1925418569254185,54
primitive_03,high_vix,1.0,0.3301549463647199,3.0288808664259927,54
primitive_03,market_down,0.5555555555555556,0.44219308700834326,1.2563641808924828,54
primitive_03,high_benchmark_deviation,0.3333333333333333,0.3301549463647199,1.0096269554753308,54
primitive_03,high_turnover,1.0,1.0,1.0,54
primitive_03,high_action_jitter,1.0,1.0,1.0,54
primitive_03,drawdown_stress,0.0,0.3301549463647199,0.0,54
primitive_03,high_concentration,0.0,0.3301549463647199,0.0,54
primitive_04,drawdown_stress,0.49101796407185627,0.3301549463647199,1.4872349164486909,167
primitive_04,high_turnover,1.0,1.0,1.0,167
primitive_04,high_action_jitter,1.0,1.0,1.0,167
primitive_04,market_down,0.40119760479041916,0.44219308700834326,0.9072905402133739,167
primitive_04,risk_off,0.1317365269461078,0.17401668653158522,0.7570338774505784,167
primitive_04,high_vix,0.24550898203592814,0.3301549463647199,0.7436174582243454,167
primitive_04,high_benchmark_deviation,0.2215568862275449,0.3301549463647199,0.6710694135195313,167
primitive_04,high_concentration,0.2155688622754491,0.3301549463647199,0.6529324023433277,167
primitive_05,drawdown_stress,0.6637931034482759,0.3301549463647199,2.0105502303000127,232
primitive_05,high_turnover,1.0,1.0,1.0,232
primitive_05,high_action_jitter,1.0,1.0,1.0,232
primitive_05,high_vix,0.27586206896551724,0.3301549463647199,0.8355533424623428,232
primitive_05,market_down,0.3620689655172414,0.44219308700834326,0.8188028627195836,232
primitive_05,risk_off,0.125,0.17401668653158522,0.7183219178082192,232
primitive_05,high_benchmark_deviation,0.04310344827586207,0.3301549463647199,0.13055520975974108,232
primitive_05,high_concentration,0.017241379310344827,0.3301549463647199,0.052222083903896425,232
