primitive_id,regime_label_exogenous,windows,primitive_share,base_regime_share,regime_lift
primitive_00,bear_low_vol,3,0.007407407407407408,0.003575685339690107,2.071604938271605
primitive_00,bear_high_vol,16,0.03950617283950617,0.021454112038140644,1.841426611796982
primitive_00,market_regime_0,380,0.9382716049382716,0.5184743742550656,1.809677877110827
primitive_00,bull_low_vol,4,0.009876543209876543,0.021454112038140644,0.4603566529492455
primitive_00,market_regime_1,2,0.0049382716049382715,0.432657926102503,0.01141380131279121
primitive_01,bull_high_vol,2,0.0032733224222585926,0.0023837902264600714,1.3731587561374796
primitive_01,bear_high_vol,16,0.02618657937806874,0.021454112038140644,1.220585561011093
primitive_01,market_regime_0,364,0.5957446808510638,0.5184743742550656,1.149033993641477
primitive_01,market_regime_1,222,0.36333878887070375,0.432657926102503,0.8397830409435825
primitive_01,bull_low_vol,7,0.011456628477905073,0.021454112038140644,0.5340061829423531
primitive_02,bull_low_vol,43,0.04103053435114504,0.021454112038140644,1.9124787955894824
primitive_02,bear_low_vol,6,0.0057251908396946565,0.003575685339690107,1.601145038167939
primitive_02,bull_high_vol,4,0.003816793893129771,0.0023837902264600714,1.6011450381679388
primitive_02,market_regime_1,652,0.6221374045801527,0.432657926102503,1.4379429268395263
primitive_02,market_regime_0,330,0.3148854961832061,0.5184743742550656,0.6073308765464596
primitive_02,bear_high_vol,13,0.012404580152671756,0.021454112038140644,0.5781912637828668
primitive_03,bear_high_vol,9,0.16666666666666666,0.021454112038140644,7.768518518518518
primitive_03,market_regime_0,45,0.8333333333333334,0.5184743742550656,1.60727969348659
primitive_04,market_regime_1,92,0.5508982035928144,0.432657926102503,1.273288134474852
primitive_04,market_regime_0,75,0.4491017964071856,0.5184743742550656,0.8661986372083419
primitive_05,market_regime_1,121,0.521551724137931,0.432657926102503,1.2054597701149425
primitive_05,market_regime_0,111,0.47844827586206895,0.5184743742550656,0.9228002378121283
