primitive_id,synthetic_strategy,activation_correlation,active_strategy_return_mean,base_strategy_return_mean,active_minus_base_strategy_return
primitive_00,sector_dispersion,0.19173517452824246,0.031833793177840866,0.02444549667043012,0.007388296507410744
primitive_00,defensive_minus_cyclical,0.06348664652688399,0.0015123116583887891,6.818466125733144e-05,0.0014441269971314577
primitive_00,low_minus_high_vol,0.020637642505624453,0.0004701638921390626,-0.00019245871670194267,0.0006626226088410053
primitive_00,low_vol_defensive,0.010051856164389939,6.983979395489828e-05,-9.090369976528822e-05,0.0001607434937201865
primitive_00,momentum_long_short,-0.010879948163083781,-0.00053933761515663,-0.00017357518618279464,-0.0003657624289738354
primitive_00,momentum_tilt,-0.01333952200374865,-0.0001697137711445662,7.022414405150141e-05,-0.0002399379151960676
primitive_00,equal_weight,-0.08685193232063612,-0.002356457120820172,0.00025008742830526443,-0.0026065445491254367
primitive_01,equal_weight,0.02221244766467813,0.0007656762369082546,0.00025008742830526443,0.0005155888086029901
primitive_01,low_vol_defensive,0.019819619625031294,0.00015423046899783218,-9.090369976528822e-05,0.0002451341687631204
primitive_01,momentum_long_short,0.012072076372669088,0.0001403134829145187,-0.00017357518618279464,0.0003138886690973134
primitive_01,low_minus_high_vol,0.006381025063349116,-3.399931455509906e-05,-0.00019245871670194267,0.0001584594021468436
primitive_01,momentum_tilt,0.005794265248726927,0.00015083218813114504,7.022414405150141e-05,8.060804407964363e-05
primitive_01,sector_dispersion,0.005134344288145189,0.024598516920778076,0.02444549667043012,0.0001530202503479544
primitive_01,defensive_minus_cyclical,-0.012732677344998016,-0.00015582364949475982,6.818466125733144e-05,-0.00022400831075209126
primitive_02,equal_weight,0.0468142829045253,0.0009784956736896679,0.00025008742830526443,0.0007284082453844034
primitive_02,momentum_long_short,-0.01250279237951162,-0.0003914916772702613,-0.00017357518618279464,-0.00021791649108746666
primitive_02,momentum_tilt,-0.013153282600947981,-5.2436029716205575e-05,7.022414405150141e-05,-0.00012266017376770698
primitive_02,low_minus_high_vol,-0.027711029108566352,-0.0006537440333964522,-0.00019245871670194267,-0.00046128531669450956
primitive_02,low_vol_defensive,-0.03300663216179497,-0.0003645560374082053,-9.090369976528822e-05,-0.0002736523376429171
primitive_02,defensive_minus_cyclical,-0.05398481682693431,-0.0005684722278375267,6.818466125733144e-05,-0.0006366568890948582
primitive_02,sector_dispersion,-0.264140905588808,0.019168473551784984,0.02444549667043012,-0.005277023118645138
primitive_03,sector_dispersion,0.6036970420304031,0.0932437562334288,0.02444549667043012,0.06879825956299868
primitive_03,defensive_minus_cyclical,0.10080248462296756,0.0068494403062071985,6.818466125733144e-05,0.006781255644949867
primitive_03,low_vol_defensive,0.05676373814964828,0.0025936618119634814,-9.090369976528822e-05,0.0026845655117287695
primitive_03,low_minus_high_vol,0.044597639989689845,0.004042351215314746,-0.00019245871670194267,0.004234809932016689
primitive_03,momentum_tilt,-0.0019272527185828908,-3.229693318633994e-05,7.022414405150141e-05,-0.00010252107723784134
primitive_03,momentum_long_short,-0.008438723337496568,-0.0010125808568128046,-0.00017357518618279464,-0.00083900567063001
primitive_03,equal_weight,-0.09646677149758708,-0.008311992769572776,0.00025008742830526443,-0.00856208019787804
primitive_04,defensive_minus_cyclical,0.023673965217949056,0.000952791423392724,6.818466125733144e-05,0.0008846067621353926
primitive_04,equal_weight,0.019273562478575968,0.0012002631140109283,0.00025008742830526443,0.0009501756857056638
primitive_04,low_vol_defensive,0.014497865769495497,0.00028994060249979726,-9.090369976528822e-05,0.0003808443022650855
primitive_04,low_minus_high_vol,0.01430083535007063,0.0005618060504470344,-0.00019245871670194267,0.0007542647671489771
primitive_04,momentum_long_short,0.004052002147859448,5.019291867493001e-05,-0.00017357518618279464,0.00022376810485772464
primitive_04,momentum_tilt,-0.018780775014496865,-0.00048469329524598913,7.022414405150141e-05,-0.0005549174392974906
primitive_04,sector_dispersion,-0.049133996820025325,0.02133535002518303,0.02444549667043012,-0.003110146645247093
primitive_05,momentum_tilt,0.0478959165980669,0.001254183425792132,7.022414405150141e-05,0.0011839592817406307
primitive_05,equal_weight,0.02935891879510266,0.0014609793694651272,0.00025008742830526443,0.0012108919411598627
primitive_05,momentum_long_short,0.017974409042618825,0.0006568615477757849,-0.00017357518618279464,0.0008304367339585796
primitive_05,low_minus_high_vol,-0.02309223279662324,-0.0012114060953194556,-0.00019245871670194267,-0.0010189473786175129
primitive_05,low_vol_defensive,-0.026802802389721655,-0.0006799467098204081,-9.090369976528822e-05,-0.00058904301005512
primitive_05,defensive_minus_cyclical,-0.04063441499658933,-0.0012020871934892406,6.818466125733144e-05,-0.001270271854746572
primitive_05,sector_dispersion,-0.06113847812918861,0.021207795132630502,0.02444549667043012,-0.00323770153779962
