selection_rule,folds,selected_feature_sets,selected_test_sharpe_median,actual_test_winner_sharpe_median,selection_matches_test_winner_rate,median_test_winner_regret
robust_q25_retention,14,"base_macro, base_macro_analyst_or_fund_revision_features, base_macro_hmm, base_macro_rates_credit_vol_risk_state_context, base_macro_rates_term_structure_lsc, base_macro_sector_relative_context, base_macro_vol_term_or_implied_vol_proxy, base_macro_xsec_sector_gated_context",1.2101952040497304,1.4723249934540825,0.14285714285714285,0.37211880349497306
sharpe_only,14,"base, base_macro, base_macro_breadth_internal_structure, base_macro_credit_stress_proxies, base_macro_gru, base_macro_rates_credit_vol_risk_state_context, base_macro_rates_term_structure_lsc, base_macro_vol_term_or_implied_vol_proxy, base_macro_xsec_sector_gated_context",0.9561922362108528,1.4723249934540825,0.14285714285714285,0.4733529542286356
robust_q25,14,"base, base_macro, base_macro_analyst_or_fund_revision_features, base_macro_rates_credit_vol_risk_state_context, base_macro_rates_term_structure_lsc, base_macro_sector_relative_context, base_macro_vol_term_or_implied_vol_proxy, base_macro_xsec_sector_gated_context",0.7035971597776123,1.4723249934540825,0.07142857142857142,0.5987818084479445
