feature_set,feature_family,is_negative_control,regime_label_exogenous,runs,folds,seeds,n_days_median,mean_daily_return_median,sharpe_median,max_drawdown_median,turnover_median,hit_rate_median,excess_return_vs_benchmark_median
base_macro_hmm,negative_control_hmm,True,bull_low_vol,18,6,3,3.5,0.0014605421853305465,,-0.004548653376230338,0.0,0.6,-0.00010663405930664963
base_macro_hmm,negative_control_hmm,True,unknown,42,14,3,59.0,0.0002789782618547493,0.5568526743507043,-0.050258030894147265,12.177966101694915,0.5084745762711864,-0.00039002397509944794
base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,bear_high_vol,18,6,3,4.0,0.0006448282165226248,,-0.013408869032255355,0.0,0.55,-0.0005410447127312003
base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,bear_low_vol,9,3,3,1.0,0.00014537132586133327,,0.0,0.0,0.3333333333333333,-6.166338010390013e-05
base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,bull_high_vol,9,3,3,1.0,0.004385457404890999,,0.0,0.0,0.6666666666666666,0.0009049297901929003
base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,bull_low_vol,18,6,3,3.5,0.0014084862174425633,,-0.002792613579834402,0.0,0.6333333333333333,-0.00010503229018606357
base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,unknown,42,14,3,59.0,0.00042542557079934334,1.0042894641979994,-0.05093450409361022,11.686440677966102,0.5423728813559322,-0.00020382405209799542
base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,bear_high_vol,18,6,3,4.0,0.00195441642412765,,-0.013356821748141012,0.0,0.55,0.00010109659335275278
base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,bear_low_vol,9,3,3,1.0,0.00036672573946119994,,0.0,0.0,0.3333333333333333,0.0011454060639605997
base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,bull_high_vol,9,3,3,1.0,0.0029618589518649336,,0.0,1.5,0.6666666666666666,-0.0003562793261044999
base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,bull_low_vol,18,6,3,3.5,0.0021153597206401034,,-0.0025799656992280817,0.0,0.5833333333333333,0.0007924030639279197
base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,unknown,42,14,3,59.0,0.0004961864683855704,0.8732059379085333,-0.0561495615911235,11.864406779661017,0.5508474576271186,-0.00013679801491749407
base_macro_sector_relative_context,sector_relative_context,False,bear_high_vol,18,6,3,4.0,0.0020577915529938103,,-0.012923965029137674,0.0,0.45,-0.00018320180573514546
base_macro_sector_relative_context,sector_relative_context,False,bear_low_vol,9,3,3,1.0,-7.758622815956662e-05,,0.0,0.0,0.3333333333333333,-0.0002846209341248001
base_macro_sector_relative_context,sector_relative_context,False,bull_high_vol,9,3,3,1.0,0.004131042521723866,,0.0,0.0,0.6666666666666666,-0.0001107540871831001
base_macro_sector_relative_context,sector_relative_context,False,bull_low_vol,18,6,3,3.5,0.0013606581879198703,,-0.0035234788540161044,0.0,0.6666666666666666,0.0005491336326418968
base_macro_sector_relative_context,sector_relative_context,False,unknown,42,14,3,59.0,0.000545575401402004,1.2470635558117724,-0.05320799820774236,12.898305084745761,0.5338983050847458,-0.00019844179935204099
base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,bear_high_vol,18,6,3,4.0,0.0025765128356831824,,-0.013613385932416955,0.0,0.55,0.00024965542141822984
base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,bear_low_vol,9,3,3,1.0,0.0002739796549718666,,0.0,0.0,0.6666666666666666,6.694494900663323e-05
base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,bull_high_vol,9,3,3,1.0,0.0024839943285559,,0.0,0.0,0.6666666666666666,-8.889001738209999e-05
base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,bull_low_vol,18,6,3,3.5,0.0014011716672426735,,-0.0028415827625796197,0.0,0.6666666666666666,5.740963061956054e-05
base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,unknown,42,14,3,59.0,0.00030679094416290187,0.6691101520198401,-0.053399194706908015,11.864406779661017,0.5338983050847458,-1.6278593659652943e-05
base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,bear_high_vol,18,6,3,4.0,0.00204892182733334,,-0.012681996270035745,0.0,0.45,-0.00014398651985813503
base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,bear_low_vol,9,3,3,1.0,0.00017189502962803335,,0.0,0.0,0.3333333333333333,0.0007385489844264334
base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,bull_high_vol,9,3,3,1.0,0.0020339215181290004,,0.0,0.0,0.6666666666666666,-4.578755532459993e-05
base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,bull_low_vol,18,6,3,3.5,0.0003463594341524633,,-0.004174306005568229,0.0,0.6333333333333333,-6.319119904414541e-05
base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,unknown,42,14,3,59.0,0.0003711178612694045,0.6829842834576624,-0.04899226326662204,11.864406779661017,0.5254237288135594,-5.241026141295477e-05
base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,bear_high_vol,18,6,3,4.0,0.0015012998042087376,,-0.014087470086335041,0.0,0.55,-0.00021458684334588294
base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,bear_low_vol,9,3,3,1.0,0.0001515704564909999,,0.0,0.0,0.3333333333333333,0.00022988363791026677
base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,bull_high_vol,9,3,3,1.0,0.0028624145180432335,,0.0,0.0,0.6666666666666666,-0.0007593126394917668
base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,bull_low_vol,18,6,3,3.5,0.0005195144887095101,,-0.003649189625523963,0.0,0.6,-0.00022963312200358733
base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,unknown,42,14,3,59.0,0.0003049326874322083,0.7064145004899369,-0.04667461716793608,12.711864406779661,0.5254237288135593,-0.00016229198825867797
