run_key,regime_label_exogenous,fold_id,seed,feature_set,feature_family,is_negative_control,selection_rule,selected_model_type,n_days,mean_daily_return,daily_volatility,volatility,sharpe,max_drawdown,turnover,hit_rate,excess_return_vs_benchmark,insufficient_days_for_sharpe
base__fold_01__seed123,bull_low_vol,fold_01,123,base,technical_base,False,checkpoint_robust_score,best_model,3,0.0022095716440448943,0.0026691443402654842,0.04237135282606822,,-0.0012203283738070336,0.0,0.6666666666666666,-0.0018290519712488567,True
base__fold_01__seed123,unknown,fold_01,123,base,technical_base,False,checkpoint_robust_score,best_model,59,0.0014873869861687645,0.011553869084972064,0.18341198567660089,2.0436042886282717,-0.06353920530439905,11.016949152542374,0.576271186440678,0.001138177696704766,False
base__fold_01__seed42,bull_low_vol,fold_01,42,base,technical_base,False,checkpoint_robust_score,checkpoint,3,0.005099809602299388,0.004553433784118735,0.07228352042506767,,-0.0005215928162669581,0.0,0.6666666666666666,0.0010611859870056368,True
base__fold_01__seed42,unknown,fold_01,42,base,technical_base,False,checkpoint_robust_score,checkpoint,59,0.0006464205465076571,0.010823767328560977,0.17182197960118972,0.9480625127124405,-0.08183670689578271,13.542372881355933,0.5423728813559322,0.0002972112570436587,False
base__fold_01__seed999,bull_low_vol,fold_01,999,base,technical_base,False,checkpoint_robust_score,checkpoint,3,0.0037498230469574048,0.004476137310472256,0.07105647694612262,,-0.002382553257316067,0.0,0.6666666666666666,-0.00028880056833634617,True
base__fold_01__seed999,unknown,fold_01,999,base,technical_base,False,checkpoint_robust_score,checkpoint,59,0.001194533370981312,0.009946448575086843,0.15789497614783526,1.9064723706310127,-0.048194871759243085,13.559322033898304,0.6101694915254238,0.0008453240815173136,False
base__fold_02__seed123,bear_high_vol,fold_02,123,base,technical_base,False,checkpoint_robust_score,checkpoint,4,0.0032318799393293574,0.007661167802783104,0.12161726855099536,,-0.009956800637341057,0.25,0.75,0.0003951685205415773,True
base__fold_02__seed123,bull_high_vol,fold_02,123,base,technical_base,False,checkpoint_robust_score,checkpoint,1,-0.003733739750291676,0.0,0.0,,0.0,,0.0,-0.0005789872369019069,True
base__fold_02__seed123,unknown,fold_02,123,base,technical_base,False,checkpoint_robust_score,checkpoint,59,-0.00043272322632288343,0.0054310153573402025,0.0862146960125686,-1.2648221019937202,-0.04875948647317796,14.542372881355933,0.4576271186440678,-0.0009220941901070802,False
base__fold_02__seed42,bear_high_vol,fold_02,42,base,technical_base,False,checkpoint_robust_score,checkpoint,4,0.0024601277136344635,0.008072216829603917,0.1281424695607333,,-0.011355004009343972,0.0,0.75,-0.0003765837051533166,True
base__fold_02__seed42,bull_high_vol,fold_02,42,base,technical_base,False,checkpoint_robust_score,checkpoint,1,-0.004063708823568102,0.0,0.0,,0.0,,0.0,-0.0009089563101783329,True
base__fold_02__seed42,unknown,fold_02,42,base,technical_base,False,checkpoint_robust_score,checkpoint,59,-0.00047656004799737886,0.005208511583849266,0.08268255810998582,-1.452460287157413,-0.046161302795990844,8.474576271186441,0.5254237288135594,-0.0009659310117815758,False
base__fold_02__seed999,bear_high_vol,fold_02,999,base,technical_base,False,checkpoint_robust_score,checkpoint,4,0.0033599064794547218,0.00834281903026583,0.1324381463238026,,-0.010570298819554624,28.25,0.75,0.0005231950606669417,True
base__fold_02__seed999,bull_high_vol,fold_02,999,base,technical_base,False,checkpoint_robust_score,checkpoint,1,-0.0035026350724852717,0.0,0.0,,0.0,,0.0,-0.00034788255909550285,True
base__fold_02__seed999,unknown,fold_02,999,base,technical_base,False,checkpoint_robust_score,checkpoint,59,-0.00017854896119779708,0.005143083753538776,0.08164392350304128,-0.5511045561176247,-0.0400691807596002,29.305084745762713,0.4576271186440678,-0.0006679199249819941,False
base__fold_03__seed123,bear_low_vol,fold_03,123,base,technical_base,False,checkpoint_robust_score,checkpoint,3,0.00030011025115232276,0.0030419438279231555,0.04828936122547517,,-0.003325941003098576,1.75,0.6666666666666666,8.89807532191123e-05,True
base__fold_03__seed123,unknown,fold_03,123,base,technical_base,False,checkpoint_robust_score,checkpoint,59,0.0006225982635294192,0.005432034804735615,0.08623087923826644,1.8194730680629418,-0.03965789965104827,12.90677966101695,0.5254237288135594,-0.00039160916988633114,False
base__fold_03__seed42,bear_low_vol,fold_03,42,base,technical_base,False,checkpoint_robust_score,checkpoint,3,-0.0003837640874528869,0.003052795005930863,0.0484616183361181,,-0.005029386282594639,0.0,0.3333333333333333,-0.0005948935853860973,True
base__fold_03__seed42,unknown,fold_03,42,base,technical_base,False,checkpoint_robust_score,checkpoint,59,0.0006571095675742883,0.005164892724653365,0.08199013018655764,2.0196529832546792,-0.037599051175479126,7.627118644067797,0.5254237288135594,-0.0003570978658414622,False
base__fold_03__seed999,bear_low_vol,fold_03,999,base,technical_base,False,checkpoint_robust_score,best_model,3,0.0006705117530808972,0.002567881136166921,0.040763849296029976,,-0.00277409509900739,0.0,0.6666666666666666,0.0004593822551476868,True
base__fold_03__seed999,unknown,fold_03,999,base,technical_base,False,checkpoint_robust_score,best_model,59,0.00047710201989725943,0.004358765318374161,0.06919325433426783,1.7375929224731643,-0.027303328354185807,9.322033898305085,0.423728813559322,-0.000537105413518491,False
base__fold_04__seed123,bull_low_vol,fold_04,123,base,technical_base,False,checkpoint_robust_score,checkpoint,5,0.0030173569338578067,0.0015230787050002294,0.024178124883653496,,0.0,0.0,1.0,0.0002973667835861855,True
base__fold_04__seed123,unknown,fold_04,123,base,technical_base,False,checkpoint_robust_score,checkpoint,59,0.0014709136708891816,0.004859525931553833,0.07714258262736558,4.805001757000836,-0.01798802878582806,11.864406779661017,0.6610169491525424,0.0006326435863406744,False
base__fold_04__seed42,bull_low_vol,fold_04,42,base,technical_base,False,checkpoint_robust_score,checkpoint,5,0.0023141023254997562,0.0022520952744181483,0.03575090414960511,,0.0,0.0,0.8,-0.00040588782477186497,True
base__fold_04__seed42,unknown,fold_04,42,base,technical_base,False,checkpoint_robust_score,checkpoint,59,0.00032248633209680804,0.003820655800274527,0.06065103055621717,1.3399039545267089,-0.015607824612897114,11.016949152542374,0.4915254237288136,-0.000515783752451699,False
base__fold_04__seed999,bull_low_vol,fold_04,999,base,technical_base,False,checkpoint_robust_score,best_model,5,0.002781083047409272,0.0018701714614874382,0.02968805157687583,,0.0,0.0,1.0,6.109289713765074e-05,True
base__fold_04__seed999,unknown,fold_04,999,base,technical_base,False,checkpoint_robust_score,best_model,59,0.0010689455006346533,0.0042537260171490905,0.06752580712069059,3.9892046855282035,-0.01420158700517149,15.35593220338983,0.559322033898305,0.00023067541608614634,False
base__fold_05__seed123,bear_high_vol,fold_05,123,base,technical_base,False,checkpoint_robust_score,checkpoint,1,0.01470951418257549,0.0,0.0,,0.0,,1.0,-0.000610426928885131,True
base__fold_05__seed123,bear_low_vol,fold_05,123,base,technical_base,False,checkpoint_robust_score,checkpoint,1,-0.017257336714387006,0.0,0.0,,0.0,1.5,0.0,0.00533088491190499,True
