fold_id,regime_label_exogenous,feature_set,runs,sharpe_median,max_drawdown_median,turnover_median,hit_rate_median
fold_01,bull_low_vol,base,3,,-0.0012203283738070336,0.0,0.6666666666666666
fold_01,bull_low_vol,base_macro,3,,-0.0021989229857031223,0.0,0.6666666666666666
fold_01,bull_low_vol,base_macro_exogenous_plus,3,,-0.003990453116152981,0.0,0.6666666666666666
fold_01,bull_low_vol,base_macro_gru,3,,-0.001505835048098203,0.0,0.6666666666666666
fold_01,bull_low_vol,base_macro_hmm,3,,-0.004296605534139464,0.0,0.6666666666666666
fold_01,unknown,base,3,1.9064723706310127,-0.06353920530439905,13.542372881355933,0.576271186440678
fold_01,unknown,base_macro,3,1.974139636249529,-0.0547980898720456,9.322033898305085,0.559322033898305
fold_01,unknown,base_macro_exogenous_plus,3,1.9210638044469275,-0.05860695210904843,11.813559322033898,0.5423728813559322
fold_01,unknown,base_macro_gru,3,1.331811035788491,-0.06576113359759173,13.491525423728813,0.576271186440678
fold_01,unknown,base_macro_hmm,3,1.7783668709159168,-0.05747386330771698,13.59322033898305,0.576271186440678
fold_02,bear_high_vol,base,3,,-0.010570298819554624,0.25,0.75
fold_02,bear_high_vol,base_macro,3,,-0.011098838433862612,0.0,0.75
fold_02,bear_high_vol,base_macro_exogenous_plus,3,,-0.005944082044261556,0.0,0.75
fold_02,bear_high_vol,base_macro_gru,3,,-0.010039883587550924,0.0,0.75
fold_02,bear_high_vol,base_macro_hmm,3,,-0.013578790850039768,0.0,0.75
fold_02,bull_high_vol,base,3,,0.0,,0.0
fold_02,bull_high_vol,base_macro,3,,0.0,,0.0
fold_02,bull_high_vol,base_macro_exogenous_plus,3,,0.0,,0.0
fold_02,bull_high_vol,base_macro_gru,3,,0.0,,0.0
fold_02,bull_high_vol,base_macro_hmm,3,,0.0,,0.0
fold_02,unknown,base,3,-1.2648221019937202,-0.046161302795990844,14.542372881355933,0.4576271186440678
fold_02,unknown,base_macro,3,0.6325712858427739,-0.029021198127727965,14.254237288135593,0.5084745762711864
fold_02,unknown,base_macro_exogenous_plus,3,-0.7845183317114106,-0.030243781492768518,9.610169491525424,0.5423728813559322
fold_02,unknown,base_macro_gru,3,-0.24427154786199973,-0.03461929548157816,11.016949152542374,0.5254237288135594
fold_02,unknown,base_macro_hmm,3,-0.06138084103555776,-0.030119117132262452,18.28813559322034,0.4576271186440678
fold_03,bear_low_vol,base,3,,-0.003325941003098576,0.0,0.6666666666666666
fold_03,bear_low_vol,base_macro,3,,-0.003495920312253653,0.0,0.3333333333333333
fold_03,bear_low_vol,base_macro_exogenous_plus,3,,-0.003257463986004794,0.75,0.6666666666666666
fold_03,bear_low_vol,base_macro_gru,3,,-0.0052069489686070725,0.0,0.3333333333333333
fold_03,bear_low_vol,base_macro_hmm,3,,-0.002914661408300656,0.0,0.3333333333333333
fold_03,unknown,base,3,1.8194730680629418,-0.037599051175479126,9.322033898305085,0.5254237288135594
fold_03,unknown,base_macro,3,1.9162493509041068,-0.04165951645238708,9.322033898305085,0.4406779661016949
fold_03,unknown,base_macro_exogenous_plus,3,2.0605494744075794,-0.035117151444682304,16.661016949152543,0.5084745762711864
fold_03,unknown,base_macro_gru,3,1.8439437543496011,-0.04619590561588671,11.864406779661017,0.5254237288135594
fold_03,unknown,base_macro_hmm,3,2.0029534896188164,-0.036722583713818535,13.305084745762711,0.4745762711864407
fold_04,bull_low_vol,base,3,,0.0,0.0,1.0
fold_04,bull_low_vol,base_macro,3,,0.0,0.0,1.0
fold_04,bull_low_vol,base_macro_exogenous_plus,3,,0.0,0.0,1.0
fold_04,bull_low_vol,base_macro_gru,3,,0.0,0.0,1.0
fold_04,bull_low_vol,base_macro_hmm,3,,0.0,0.0,1.0
fold_04,unknown,base,3,3.9892046855282035,-0.015607824612897114,11.864406779661017,0.559322033898305
fold_04,unknown,base_macro,3,3.8896115306130263,-0.01867107846836058,13.559322033898304,0.6440677966101694
fold_04,unknown,base_macro_exogenous_plus,3,3.83305068699092,-0.01696387915673514,13.559322033898304,0.6440677966101694
fold_04,unknown,base_macro_gru,3,3.042819869946469,-0.015344767550462435,14.40677966101695,0.5932203389830508
fold_04,unknown,base_macro_hmm,3,3.766180458196795,-0.015089535885752348,18.423728813559322,0.6271186440677966
fold_05,bear_high_vol,base,3,,0.0,,1.0
fold_05,bear_high_vol,base_macro,3,,0.0,,1.0
fold_05,bear_high_vol,base_macro_exogenous_plus,3,,0.0,,1.0
fold_05,bear_high_vol,base_macro_gru,3,,0.0,,1.0
fold_05,bear_high_vol,base_macro_hmm,3,,0.0,,1.0
fold_05,bear_low_vol,base,3,,0.0,1.0,0.0
fold_05,bear_low_vol,base_macro,3,,0.0,0.0,0.0
fold_05,bear_low_vol,base_macro_exogenous_plus,3,,0.0,0.0,0.0
fold_05,bear_low_vol,base_macro_gru,3,,0.0,0.0,0.0
fold_05,bear_low_vol,base_macro_hmm,3,,0.0,0.0,0.0
fold_05,unknown,base,3,-1.0450352217254788,-0.11600832900524538,15.491525423728813,0.5423728813559322
fold_05,unknown,base_macro,3,-0.25686077030977356,-0.10145425575114353,14.40677966101695,0.5423728813559322
fold_05,unknown,base_macro_exogenous_plus,3,-0.19670788945086864,-0.09280142687618231,11.703389830508474,0.559322033898305
fold_05,unknown,base_macro_gru,3,-0.25683219388396167,-0.0936102331085954,15.932203389830509,0.5254237288135594
fold_05,unknown,base_macro_hmm,3,-0.8915998581862853,-0.10403536708622962,11.864406779661017,0.5254237288135594
fold_06,bull_low_vol,base,3,,0.0,0.0,1.0
fold_06,bull_low_vol,base_macro,3,,-0.0015526762397003457,0.0,0.6
fold_06,bull_low_vol,base_macro_exogenous_plus,3,,-0.0009050242709466305,0.0,0.8
fold_06,bull_low_vol,base_macro_gru,3,,-0.0019497473518107489,0.0,0.4
fold_06,bull_low_vol,base_macro_hmm,3,,-0.0014688897757724195,0.0,0.6
fold_06,unknown,base,3,3.6715833880008546,-0.020667841611363924,11.016949152542374,0.576271186440678
fold_06,unknown,base_macro,3,4.4234616495795285,-0.011721371859370833,11.016949152542374,0.5932203389830508
fold_06,unknown,base_macro_exogenous_plus,3,3.8692146750220098,-0.01866702202332038,13.711864406779661,0.576271186440678
fold_06,unknown,base_macro_gru,3,4.563064483444284,-0.020891404316225715,12.711864406779661,0.6101694915254238
fold_06,unknown,base_macro_hmm,3,3.918209640708871,-0.019035970962659743,11.788135593220339,0.6101694915254238
fold_07,bull_high_vol,base,3,,-0.0024103475701138244,0.0,0.6666666666666666
fold_07,bull_high_vol,base_macro,3,,-0.001997217312706745,0.0,0.6666666666666666
fold_07,bull_high_vol,base_macro_exogenous_plus,3,,-0.0010153820304983352,0.0,0.6666666666666666
fold_07,bull_high_vol,base_macro_gru,3,,-0.0025591016055240834,0.0,0.6666666666666666
fold_07,bull_high_vol,base_macro_hmm,3,,-0.0027430113621254026,0.0,0.6666666666666666
fold_07,unknown,base,3,2.545153846700705,-0.03115469353300493,10.169491525423728,0.6271186440677966
fold_07,unknown,base_macro,3,2.940405499870893,-0.03195027066199618,10.169491525423728,0.576271186440678
fold_07,unknown,base_macro_exogenous_plus,3,3.392051701035581,-0.029663006831524008,14.40677966101695,0.5932203389830508
fold_07,unknown,base_macro_gru,3,3.415390406312885,-0.03098291344257109,9.322033898305085,0.6101694915254238
fold_07,unknown,base_macro_hmm,3,3.031770263308197,-0.027996817086621606,11.864406779661017,0.5932203389830508
fold_08,bear_low_vol,base,3,,0.0,,1.0
fold_08,bear_low_vol,base_macro,3,,0.0,,1.0
fold_08,bear_low_vol,base_macro_exogenous_plus,3,,0.0,,1.0
fold_08,bear_low_vol,base_macro_gru,3,,0.0,,1.0
fold_08,bear_low_vol,base_macro_hmm,3,,0.0,,1.0
fold_08,bull_low_vol,base,3,,-0.030050404904031436,0.0,0.25
fold_08,bull_low_vol,base_macro,3,,-0.03046929486222205,0.0,0.25
fold_08,bull_low_vol,base_macro_exogenous_plus,3,,-0.02536668588348545,0.0,0.25
fold_08,bull_low_vol,base_macro_gru,3,,-0.02632840114907853,0.0,0.25
fold_08,bull_low_vol,base_macro_hmm,3,,-0.029438417892066582,0.0,0.25
fold_08,unknown,base,3,-0.5857061840499999,-0.06998482614434476,15.254237288135593,0.5084745762711864
fold_08,unknown,base_macro,3,-0.21305559105084398,-0.06886591962979027,12.898305084745763,0.5254237288135594
fold_08,unknown,base_macro_exogenous_plus,3,-0.05810030797160954,-0.05922714914023308,10.169491525423728,0.5084745762711864
fold_08,unknown,base_macro_gru,3,0.10552805397679653,-0.05996110508536012,7.627118644067797,0.5084745762711864
fold_08,unknown,base_macro_hmm,3,-0.9366247998997992,-0.06919381735285135,11.016949152542374,0.5084745762711864
fold_09,bear_high_vol,base,3,,-0.038838016075146475,0.0,0.25
fold_09,bear_high_vol,base_macro,3,,-0.040932731239433084,0.5,0.25
fold_09,bear_high_vol,base_macro_exogenous_plus,3,,-0.04460313034125196,0.0,0.25
fold_09,bear_high_vol,base_macro_gru,3,,-0.04070916291532589,0.0,0.25
fold_09,bear_high_vol,base_macro_hmm,3,,-0.03634950101622447,0.0,0.25
fold_09,unknown,base,3,-0.9851917897811115,-0.32788112871085706,11.864406779661017,0.4576271186440678
