feature_set,runs,folds,seeds,n_features,validation_sharpe_median,validation_sharpe_iqr,test_sharpe_median,test_sharpe_iqr,validation_return_pct_median,test_return_pct_median,test_max_drawdown_median,test_max_drawdown_iqr,test_turnover_median,test_turnover_iqr,robust_selection_score_median,generalization_ratio_median,retention_ratio_median
base_macro,42,14,3,12,2.5850926259482963,2.7258639836552563,1.3378153596148783,3.2532985286246077,7.9887745166606905,3.2621823993744803,-0.0539594680142057,0.06157988214543958,12.187223523289097,4.266525647805393,2.5410089136815923,3.094872294292097,0.42066799187019266
base_macro_gru,42,14,3,20,2.5750946562633743,2.9177150557271023,1.1057603787066772,3.204303885102421,8.831791365656938,2.667407597565641,-0.04997674620401393,0.06375471974409247,12.195928080380751,4.379781420765028,2.3926880038715552,3.042474527737272,0.3894519965233588
base,42,14,3,9,2.4799274395601194,3.0446385690017808,0.9435215843160069,3.064377519051658,7.837906270435235,2.3843937574775764,-0.054896337459076794,0.06040848964085921,11.280081925243216,3.6688134270101482,2.3390323603618564,2.8788633385430944,0.30145697292984197
base_macro_exogenous_plus,42,14,3,27,2.5080088314455544,2.3426336649688424,0.7911333695406451,3.0318813678527863,7.844098017028811,2.0444119120418547,-0.054325469115413694,0.061117567652877985,11.504781420765028,5.747204804714057,2.273769470097567,2.7873619011986532,0.26292367699739416
base_macro_hmm,42,14,3,15,2.3766864629008353,2.3623396637941374,0.546588375354595,3.31885464438051,7.863746840090824,1.8146708546369017,-0.051412358498567845,0.07037596720614908,11.60752688172043,2.78028128226436,2.3688370684176965,2.737829784916381,0.388002671993425
