config_name,config_pretty,period,sharpe_ratio,return_pct,annual_volatility,max_drawdown,annual_return,n_runs
BuyAndHold_equal_weight,Buy-and-Hold EW,test,-0.3270408026517987,-8.580557122124976,0.1862499816145123,-0.2084919591065744,-0.0749954668113608,1
DJI_baseline,DJI,test,-0.4233424201636931,-10.73760580411125,0.1909588974097763,-0.2194080382476475,-0.0939907017787835,1
custom_custom,custom_reward + custom_policy,test,-0.8208736661297101,-13.87432643352408,0.14594740318293672,-0.1827722428856903,-0.12173940630228863,3
finrl_custom,finrl_reward + custom_policy,test,-0.924030215537802,-15.239617434193379,0.14466353747083227,-0.19479410199313388,-0.13384054940676843,3
zhang_custom,zhang_reward + custom_policy,test,-0.9847444877069637,-16.3551902860684,0.14697635347195118,-0.19955965176136156,-0.14375879097918118,3
zhang_finrl,zhang_reward + finrl_policy,test,-1.4192510919203425,-2.179973849864973,0.013398694003424666,-0.023317276284391602,-0.018986459236274567,3
custom_finrl,custom_reward + finrl_policy,test,-1.5347843411979338,-6.969140823289133,0.04881014104658826,-0.07355959978010423,-0.060959779664758205,3
finrl_finrl,finrl_reward + finrl_policy,test,-2.055107486567239,-5.90373345057587,0.026908564445467603,-0.060286380277301266,-0.05163593620444837,3
custom_finrl,custom_reward + finrl_policy,validation,2.7910465428020967,1.3961865996339418,0.022525596000088036,-0.0090896285989902,0.05665222219551713,3
zhang_finrl,zhang_reward + finrl_policy,validation,2.61278848115342,0.4158816849668974,0.0055898491339711,-0.002494485392317133,0.016565761031079002,3
custom_custom,custom_reward + custom_policy,validation,2.1532153738607978,5.901290499987792,0.10908124368578204,-0.037323910585985436,0.2536264581072163,3
finrl_finrl,finrl_reward + finrl_policy,validation,1.8973621665687217,0.6877822943229658,0.011811081379969867,-0.0041364514774615,0.02772823022691417,3
finrl_custom,finrl_reward + custom_policy,validation,1.8630675524033997,5.365401080676757,0.11547966662208593,-0.043798451175468434,0.22890559613587383,3
DJI_baseline,DJI,validation,1.7954944409968414,5.860900858416662,0.1317042569477653,-0.0661551717187137,0.2514006254009726,1
BuyAndHold_equal_weight,Buy-and-Hold EW,validation,1.7332346935568046,5.218748654377303,0.1216581480842653,-0.0606625528867767,0.2217763361077016,1
zhang_custom,zhang_reward + custom_policy,validation,1.694500257210336,4.66532474401374,0.11100388119780207,-0.04201154881456117,0.19687121091879722,3
