selection_rule,selection_rule_description,score,validation_sharpe_quantile,validation_sharpe_quantile_level,validation_turnover_median,validation_max_drawdown_median,retention_ratio_median,generalization_ratio_median,n_runs_in_score,n_folds_in_score,n_seeds_in_score,validation_sharpe_median,test_sharpe_median,test_return_pct_median,test_max_drawdown_median,test_turnover_median,seed_count,run_count,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,selected_by_rule
sharpe_only,Baseline rule: median validation Sharpe only.,2.2767308822385948,2.2767308822385948,0.5,10.129032258064516,-0.037560718248264124,0.7704364279889822,2.2987920407820535,3,1,3,2.2767308822385948,1.834420863626625,7.182479023495336,-0.06284738951982483,10.614754098360656,3,3,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Macro baseline plus lag-clean Treasury level, slope, and curvature features.",fold_01,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.615629541706107,2.197202591105861,0.25,10.129032258064516,-0.037560718248264124,0.7704364279889822,2.2987920407820535,3,1,3,2.2767308822385948,1.834420863626625,7.182479023495336,-0.06284738951982483,10.614754098360656,3,3,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Macro baseline plus lag-clean Treasury level, slope, and curvature features.",fold_01,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,2.1530574548206607,2.197202591105861,0.25,10.129032258064516,-0.037560718248264124,0.7704364279889822,2.2987920407820535,3,1,3,2.2767308822385948,1.834420863626625,7.182479023495336,-0.06284738951982483,10.614754098360656,3,3,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Macro baseline plus lag-clean Treasury level, slope, and curvature features.",fold_01,True
sharpe_only,Baseline rule: median validation Sharpe only.,0.1328492154014167,0.1328492154014167,0.5,13.1875,-0.05042385431413687,0.533358029304464,0.1421721059432852,3,1,3,0.1328492154014167,0.47150630662440085,0.9383698346138392,-0.030404117265280917,13.492063492063492,3,3,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Macro baseline plus lag-clean Treasury level, slope, and curvature features.",fold_02,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.7064570831273688,0.05376562550090502,0.25,13.1875,-0.05042385431413687,0.533358029304464,0.1421721059432852,3,1,3,0.1328492154014167,0.47150630662440085,0.9383698346138392,-0.030404117265280917,13.492063492063492,3,3,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Macro baseline plus lag-clean Treasury level, slope, and curvature features.",fold_02,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,-0.55179175990976,0.05376562550090502,0.25,13.1875,-0.05042385431413687,0.533358029304464,0.1421721059432852,3,1,3,0.1328492154014167,0.47150630662440085,0.9383698346138392,-0.030404117265280917,13.492063492063492,3,3,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Macro baseline plus lag-clean Treasury level, slope, and curvature features.",fold_02,True
sharpe_only,Baseline rule: median validation Sharpe only.,6.024456254254666,6.024456254254666,0.5,12.903225806451612,-0.01608959039378044,0.29321834737499647,8.679477438577473,3,1,3,6.024456254254666,1.8941977441952584,3.7685207906351437,-0.038471897782332176,13.114754098360656,3,3,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Macro baseline plus lag-clean Treasury level, slope, and curvature features.",fold_03,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,5.010068665473943,5.687409136584085,0.25,12.903225806451612,-0.01608959039378044,0.29321834737499647,8.679477438577473,3,1,3,6.024456254254666,1.8941977441952584,3.7685207906351437,-0.038471897782332176,13.114754098360656,3,3,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Macro baseline plus lag-clean Treasury level, slope, and curvature features.",fold_03,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,6.385294868104313,5.687409136584085,0.25,12.903225806451612,-0.01608959039378044,0.29321834737499647,8.679477438577473,3,1,3,6.024456254254666,1.8941977441952584,3.7685207906351437,-0.038471897782332176,13.114754098360656,3,3,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Macro baseline plus lag-clean Treasury level, slope, and curvature features.",fold_03,True
sharpe_only,Baseline rule: median validation Sharpe only.,4.618779283002379,4.618779283002379,0.5,12.698412698412698,-0.014192392417744393,1.121823063268755,3.9890323729419443,3,1,3,4.618779283002379,5.181453123819992,9.14716594346201,-0.014517276270763824,12.698412698412698,3,3,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Macro baseline plus lag-clean Treasury level, slope, and curvature features.",fold_04,True
