run_key,model_name,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,seed,n_features,generalization_ratio,retention_ratio,selected_artifact_type,selection_rule,checkpoint_selection_rule,train_sharpe,train_return_pct,train_max_drawdown,train_turnover,validation_sharpe,validation_return_pct,validation_max_drawdown,validation_turnover,test_sharpe,test_return_pct,test_max_drawdown,test_turnover,robust_selection_score,selected_artifact_score
base_macro_rates_term_structure_lsc__fold_01__seed42,custom_custom,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Baseline technical and macro features plus lag-clean Treasury level, slope, and curvature context.",fold_01,42,25,2.2987920407820535,0.8263830185615232,best_model,checkpoint_robust_score,checkpoint_robust_score,0.9904031516761501,126.9736489447447,-0.17767365816251957,0.4739764052741152,2.2767308822385948,7.63177712463492,-0.03567296275910947,9.693548387096774,1.8814517389165697,7.206114332501978,-0.06513365660795256,10.262295081967213,2.1428486751847085,2.1428486751847085
base_macro_rates_term_structure_lsc__fold_01__seed123,custom_custom,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Baseline technical and macro features plus lag-clean Treasury level, slope, and curvature context.",fold_01,123,25,2.292927790411438,0.7704364279889822,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0384170113236473,125.21311935259148,-0.14708890809960973,0.5121443442054129,2.3810152232999795,8.312897873753645,-0.037560718248264124,11.290322580645162,1.834420863626625,7.182479023495336,-0.05748627161174669,11.672131147540984,2.145358374895182,2.145358374895182
base_macro_rates_term_structure_lsc__fold_01__seed999,custom_custom,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Baseline technical and macro features plus lag-clean Treasury level, slope, and curvature context.",fold_01,999,25,2.3671958153353136,0.7552970228906475,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8945919413401624,112.47876481494323,-0.1635383952265007,0.7251908396946565,2.117674299973127,8.176181798239135,-0.03851526980060049,10.129032258064516,1.5994730942217386,6.911968790259104,-0.06284738951982483,10.614754098360656,2.007810869935663,2.007810869935663
base_macro_rates_term_structure_lsc__fold_02__seed42,custom_custom,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Baseline technical and macro features plus lag-clean Treasury level, slope, and curvature context.",fold_02,42,25,0.1421721059432852,3.5491839767340676,best_model,checkpoint_robust_score,checkpoint_robust_score,0.9344253186656211,129.31947980473365,-0.17297810273038083,0.5431309904153354,0.1328492154014167,0.22499639067343757,-0.05042385431413687,13.28125,0.47150630662440085,0.9383698346138392,-0.030404117265280917,13.492063492063492,-0.7670470690923187,-0.7670470690923187
base_macro_rates_term_structure_lsc__fold_02__seed123,custom_custom,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Baseline technical and macro features plus lag-clean Treasury level, slope, and curvature context.",fold_02,123,25,0.42238969945626603,0.533358029304464,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.140462596081321,171.84680915504043,-0.1373850512275352,0.5757188498402556,0.4817196531999021,1.2569109205073037,-0.0374958883582448,9.0,0.2569290449079296,0.48659137641147154,-0.03550707891865701,9.055555555555555,-0.05475357083472587,-0.05475357083472587
base_macro_rates_term_structure_lsc__fold_02__seed999,custom_custom,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Baseline technical and macro features plus lag-clean Treasury level, slope, and curvature context.",fold_02,999,25,-0.028097229338756656,-25.356216783497644,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.9010840212875956,125.53634516093398,-0.1639053297309646,0.7079872204472843,-0.02531796439960666,-0.2692544360448412,-0.057248321153275605,13.1875,0.6419677938333022,1.2897441185890646,-0.029611737173446673,14.142857142857142,-1.02449252177402,-1.02449252177402
base_macro_rates_term_structure_lsc__fold_03__seed42,custom_custom,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Baseline technical and macro features plus lag-clean Treasury level, slope, and curvature context.",fold_03,42,25,8.679477438577473,0.2852377194315869,best_model,checkpoint_robust_score,checkpoint_robust_score,0.6941035675117841,93.17957170713058,-0.17558401079315067,0.47253396337861786,6.024456254254666,13.805140716921471,-0.014648909507062657,12.903225806451612,1.7184021627789614,3.333590059803071,-0.039603574884974346,13.114754098360656,6.550023736123486,6.550023736123486
base_macro_rates_term_structure_lsc__fold_03__seed123,custom_custom,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Baseline technical and macro features plus lag-clean Treasury level, slope, and curvature context.",fold_03,123,25,6.65930837797541,0.3540316968271078,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.803441095566165,130.58782175028702,-0.24752315154691595,0.3544004725339634,5.350362018913505,14.914241206557488,-0.02169083458257015,9.67741935483871,1.8941977441952584,3.8168612373733923,-0.038471897782332176,9.836065573770492,5.603657576833138,5.603657576833138
base_macro_rates_term_structure_lsc__fold_03__seed999,custom_custom,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Baseline technical and macro features plus lag-clean Treasury level, slope, and curvature context.",fold_03,999,25,9.384627687395097,0.29321834737499647,best_model,checkpoint_robust_score,checkpoint_robust_score,0.7288869222105407,98.35980473047054,-0.17144070893092256,0.6266981689308919,6.840332391157237,15.588958236822359,-0.01608959039378044,14.193548387096774,2.005710959230783,3.7685207906351437,-0.03752088184919389,13.885245901639344,7.27465978921996,7.27465978921996
base_macro_rates_term_structure_lsc__fold_04__seed42,custom_custom,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,"Baseline technical and macro features plus lag-clean Treasury level, slope, and curvature context.",fold_04,42,25,3.9213106626165772,0.7138439602240605,best_model,checkpoint_robust_score,checkpoint_robust_score,1.0639237666786674,220.34498556746112,-0.20050887615879887,0.4160704457897633,4.17197561048825,7.855065786639925,-0.014962683773434793,10.507936507936508,2.978139591749125,5.5068172303810226,-0.017705312593506495,11.365079365079366,3.9297231032965287,3.9297231032965287
