direction_name,intervention_name,alpha,is_control,rows,ood_pass_rate,mahalanobis_mean,nn_distance_mean,hidden_norm_ratio_mean
bad_primitives_cav,additive_steering,-1.0,False,2517,0.047278506158124754,71.8920027495622,0.9745261041335679,1.36675306976345
bad_primitives_cav,additive_steering,-0.5,False,2517,0.5403257846642828,36.940584238200195,0.4880763624225207,1.1470950715500654
bad_primitives_cav,additive_steering,-0.25,False,2517,0.6054827175208581,19.672184617444668,0.24484906678093557,1.0620168166058912
bad_primitives_cav,additive_steering,0.25,False,2517,0.6038935240365515,19.57449956228936,0.2446252698161632,0.966012991509913
bad_primitives_cav,additive_steering,0.5,False,2517,0.5387365911799762,36.83075698837978,0.48698489130932227,0.9633654339758683
bad_primitives_cav,additive_steering,1.0,False,2517,0.4858959078267779,71.7864652949567,0.9696145462808029,1.0500061042329767
bad_primitives_cav,orthogonal_same_norm_control,0.5,True,2517,0.5792610250297974,62.02004808325088,0.4921098887915722,1.0599487835490355
bad_primitives_cav,projection_removal,,False,2517,0.5295987286452125,47.840700959904616,0.6931717474789942,0.9555311268587128
bad_primitives_cav,random_same_norm_control,0.5,True,2517,0.5804529201430274,61.882016276607644,0.49172178829812874,1.0588936753919203
bad_vs_good_cav,additive_steering,-1.0,False,2517,0.04807310290027811,68.4304427681263,0.9880557158991302,1.3567735099727796
bad_vs_good_cav,additive_steering,-0.5,False,2517,0.589590782677791,35.19722464773463,0.4925398491157282,1.141127014428442
bad_vs_good_cav,additive_steering,-0.25,False,2517,0.6042908224076281,18.78752730143651,0.2465770873230974,1.0587789277036939
bad_vs_good_cav,additive_steering,0.25,False,2517,0.6042908224076281,18.734407496846583,0.24617739335726146,0.9696291462907166
bad_vs_good_cav,additive_steering,0.5,False,2517,0.6015097338100914,35.129864159526484,0.49066853158070944,0.9706858553245633
bad_vs_good_cav,additive_steering,1.0,False,2517,0.42630115216527614,68.35530150029675,0.9816696774078321,1.063638446066814
bad_vs_good_cav,orthogonal_same_norm_control,0.5,True,2517,0.6138259833134684,53.66485893527901,0.49158820666051267,1.0489077499029762
bad_vs_good_cav,projection_removal,,False,2517,0.5923718712753278,39.447413268065574,0.6264592839570425,0.9632136401524937
bad_vs_good_cav,random_same_norm_control,0.5,True,2517,0.6249503377036154,53.14613013211962,0.4917464328793032,1.0510889540261725
centroid_to_good__bad_to_primitive_00,additive_steering,-1.0,False,2517,0.050059594755661505,63.05219442838615,0.9570180631729277,0.4084547083967003
centroid_to_good__bad_to_primitive_00,additive_steering,-0.5,False,2517,0.060389352403655144,32.45269195641846,0.4788222331283587,0.6878431070690418
centroid_to_good__bad_to_primitive_00,additive_steering,-0.25,False,2517,0.6042908224076281,17.39267008956362,0.24237386494961705,0.8421657148514983
centroid_to_good__bad_to_primitive_00,additive_steering,0.25,False,2517,0.6082638061183949,17.67574709798253,0.2421923055331019,1.15994680965608
centroid_to_good__bad_to_primitive_00,additive_steering,0.5,False,2517,0.06277314263011521,32.779866885792536,0.48457647497868744,1.3212967030594034
centroid_to_good__bad_to_primitive_00,additive_steering,1.0,False,2517,0.04489471593166468,63.37531082279243,0.9767746748846855,1.6467415346432488
centroid_to_good__bad_to_primitive_00,orthogonal_same_norm_control,0.5,True,2517,0.5812475168851807,53.458316086185675,0.49232119296844573,1.0604212864582965
centroid_to_good__bad_to_primitive_00,projection_removal,,False,2517,0.03377036154151768,122.346542265384,2.049125600778469,0.2974711657288432
centroid_to_good__bad_to_primitive_00,random_same_norm_control,0.5,True,2517,0.5764799364322606,52.49690676337132,0.4919691248627306,1.0715887516857603
centroid_to_good__primitive_02_to_primitive_00,additive_steering,-1.0,False,2517,0.7854588796185935,8.751952709677525,0.9971132932450384,1.178943252388508
centroid_to_good__primitive_02_to_primitive_00,additive_steering,-0.5,False,2517,0.8716726261422328,5.84172750062066,0.4992763302445351,1.0359599555642718
centroid_to_good__primitive_02_to_primitive_00,additive_steering,-0.25,False,2517,0.8780294000794596,4.578782086767743,0.24988815096351835,1.002899288375698
centroid_to_good__primitive_02_to_primitive_00,additive_steering,0.25,False,2517,0.8792212951926897,4.658940389618491,0.2498893537590087,1.0275518251788065
centroid_to_good__primitive_02_to_primitive_00,additive_steering,0.5,False,2517,0.8784266984505363,5.9485474799628975,0.49579254484700036,1.082980695748809
centroid_to_good__primitive_02_to_primitive_00,additive_steering,1.0,False,2517,0.08820023837902265,8.86957508771263,0.8963010873186821,1.2595426523670101
centroid_to_good__primitive_02_to_primitive_00,orthogonal_same_norm_control,0.5,True,2517,0.55740961462058,42.84367259831478,0.4917553694845847,1.0606148171079846
centroid_to_good__primitive_02_to_primitive_00,projection_removal,,False,2517,0.9388160508541915,4.397131758349657,0.20589332677051203,0.9919801660333543
centroid_to_good__primitive_02_to_primitive_00,random_same_norm_control,0.5,True,2517,0.55740961462058,42.58688347591197,0.49172767851969884,1.0612824961772294
centroid_to_good__primitive_04_to_primitive_00,additive_steering,-1.0,False,2517,0.044497417560588004,61.620510556486614,0.9532775924101953,0.48508013481483214
centroid_to_good__primitive_04_to_primitive_00,additive_steering,-0.5,False,2517,0.06356773937226858,31.729183048921584,0.47571398035202234,0.7090681277099927
centroid_to_good__primitive_04_to_primitive_00,additive_steering,-0.25,False,2517,0.6718315454906635,17.007720289905258,0.24066080988165112,0.850603569827874
centroid_to_good__primitive_04_to_primitive_00,additive_steering,0.25,False,2517,0.6734207389749702,17.262227230048723,0.24085127909649648,1.1540366750278857
centroid_to_good__primitive_04_to_primitive_00,additive_steering,0.5,False,2517,0.066746126340882,32.015759651412026,0.4822411180715206,1.311044557821526
centroid_to_good__primitive_04_to_primitive_00,additive_steering,1.0,False,2517,0.038935240365514504,61.915338576983615,0.9737284829856319,1.630572702803916
