primitive_id,direction_name,intervention_name,alpha,is_control,rows,ood_pass_rate,clipped_action_shift_l1_mean,action_mean_shift_l1_mean,policy_kl_mean,bad_primitive_probability_delta_mean,good_primitive_probability_delta_mean,relative_turnover_shift_mean,relative_hhi_shift_mean,beats_min_action_gate,beats_bad_probability_gate,passes_one_step_gate
primitive_00,bad_primitives_cav,additive_steering,-1.0,False,405,0.012345679012345678,45.23144307077667,530.5369091646171,9455.002751479915,-0.009304469772232555,0.00029270588990428566,74.12991293635301,-0.07997944138474707,True,False,False
primitive_00,bad_primitives_cav,additive_steering,-0.5,False,405,0.5654320987654321,41.8585783381521,265.2684534897039,2363.7506537731783,-0.004797108779945011,0.0002074080431663095,70.88684648649223,-0.07467023112417782,True,False,False
primitive_00,bad_primitives_cav,additive_steering,-0.25,False,405,0.6839506172839506,34.35405671272749,132.63422556747625,590.9376558515761,-0.00243509799789312,0.00011922309467272034,59.20887916256522,-0.013689303583133102,True,False,False
primitive_00,bad_primitives_cav,additive_steering,0.25,False,405,0.6839506172839506,5.368177386566445,132.6342258217894,590.9376820269927,0.00250876406880574,-0.0001507505397838399,2.7439748028152438,-0.051688612609242734,True,False,False
primitive_00,bad_primitives_cav,additive_steering,0.5,False,405,0.5679012345679012,7.073635189032849,265.26845222755713,2363.750719178753,0.005091711549680855,-0.0003334988451033999,3.8244129322010423,-0.07476980211875253,True,False,False
primitive_00,bad_primitives_cav,additive_steering,1.0,False,405,0.3012345679012346,8.720274375544655,530.5369049072266,9455.002832709419,0.010481896536282278,-0.0007967652032494063,5.006125690390874,-0.11080203810737907,True,False,False
primitive_00,bad_primitives_cav,orthogonal_same_norm_control,0.5,True,405,0.671604938271605,20.41012868380841,146.69401453277212,729.7247545407142,9.465303428569619e-05,4.627081558633411e-05,31.553424927716616,-0.08325500162452502,True,False,False
primitive_00,bad_primitives_cav,projection_removal,,False,405,0.562962962962963,6.892103620075885,226.51693688380865,1798.2567687305404,0.0039823697520354915,-0.00025595508653567824,3.798015785859083,-0.07066255683104211,True,False,False
primitive_00,bad_primitives_cav,random_same_norm_control,0.5,True,405,0.671604938271605,19.363314699611546,153.67938352985146,864.7667990602093,3.6072136382710365e-05,4.672645314472533e-05,36.923765776140996,-0.10301213089918397,True,False,False
primitive_00,bad_vs_good_cav,additive_steering,-1.0,False,405,0.01728395061728395,46.27808538837198,596.6846343994141,12128.365708037953,-0.006208933404344976,0.0010963710377839984,74.44696820952618,-0.10430507398228768,True,False,False
primitive_00,bad_vs_good_cav,additive_steering,-0.5,False,405,0.6691358024691358,43.69279300077462,298.3423172938971,3032.0914407989126,-0.0032805496603329353,0.000609048095717466,72.62279991818008,-0.08604578336910962,True,False,False
primitive_00,bad_vs_good_cav,additive_steering,-0.25,False,405,0.6839506172839506,36.66434563766291,149.17115809122723,758.0228644759567,-0.0016845479072854774,0.00031987404167186783,62.81344889250126,-0.02641185046101712,True,False,False
primitive_00,bad_vs_good_cav,additive_steering,0.25,False,405,0.6839506172839506,5.681528750190764,149.1711592403459,758.0228755338692,0.0017735172890940348,-0.0003508160721933141,2.498059880295099,-0.08780963184565642,True,False,False
primitive_00,bad_vs_good_cav,additive_steering,0.5,False,405,0.6814814814814815,7.053839408026802,298.34231537241993,3032.091439442576,0.0036363583953448876,-0.0007327935449253127,3.2139346653280882,-0.1083667545791305,True,False,False
primitive_00,bad_vs_good_cav,additive_steering,1.0,False,405,0.30864197530864196,8.072068406255157,596.6846339096257,12128.365825587143,0.007631067934217368,-0.001590990113101395,3.7840601623965298,-0.13440295433830754,True,False,False
primitive_00,bad_vs_good_cav,orthogonal_same_norm_control,0.5,True,405,0.6691358024691358,19.171663590456234,157.91299389497735,832.3470396630559,-0.0001233667956890749,-1.3636583990188647e-05,15.271879595564462,-0.1329349568842657,True,False,False
primitive_00,bad_vs_good_cav,projection_removal,,False,405,0.674074074074074,7.272225310625854,236.1465337117513,1951.9326009397153,0.0024600646279530135,-0.0004968683772200326,3.3544462408086675,-0.0989510605559383,True,False,False
primitive_00,bad_vs_good_cav,random_same_norm_control,0.5,True,405,0.6790123456790124,19.050568510794346,157.3660733446663,835.3522348662954,-0.00011902037788721521,-1.3760813150168776e-05,15.034025530791718,-0.1438356073160468,True,False,False
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,-1.0,False,405,0.03209876543209877,5.5831317755911085,1359.3931931107134,69236.75691098813,0.002824510759861611,-0.0002432672870862237,2.727248421561852,-0.07483195183562388,True,False,False
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,-0.5,False,405,0.04197530864197531,5.120478636394313,679.6965914125796,17309.189113136574,0.0013711390938338818,-0.00010700353861731093,2.5009368579405953,-0.06930433098627867,True,False,False
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,-0.25,False,405,0.6839506172839506,4.577929935779101,339.8482981081362,4327.297311269501,0.0006753515447106904,-4.987387328518155e-05,2.234050054210119,-0.06366061211414283,True,False,False
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,0.25,False,405,0.6864197530864198,46.85747844790235,339.848296035955,4327.297266303169,-0.0006550414375898015,4.267844007327395e-05,76.6896477040287,-0.11850206584672204,True,False,False
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,0.5,False,405,0.04197530864197531,49.79365393556195,679.696600699719,17309.189528100283,-0.001289901524988351,7.82226303847068e-05,77.6829116492932,-0.15272174380858403,True,False,False
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,1.0,False,405,0.024691358024691357,50.93896172605915,1359.3932014747902,69236.7578125,-0.0024996062491454366,0.000128156853073663,78.12602117688324,-0.1626078370930771,True,False,False
primitive_00,centroid_to_good__bad_to_primitive_00,orthogonal_same_norm_control,0.5,True,405,0.6345679012345679,23.211828012819645,129.95338713092568,524.6818858393916,4.233262674083077e-05,-1.4042526132346724e-05,35.99976195666038,-0.07461705649437213,True,False,False
primitive_00,centroid_to_good__bad_to_primitive_00,projection_removal,,False,405,0.012345679012345678,5.672895211790815,1840.598838184498,127812.17289556809,0.0038583261016626107,-0.00035408623129388995,2.8067092341557216,-0.07768305644781043,True,False,False
primitive_00,centroid_to_good__bad_to_primitive_00,random_same_norm_control,0.5,True,405,0.6197530864197531,24.482407233155804,160.44010431737075,901.288963110653,-2.305190985585787e-05,-9.399962817126908e-06,47.97223588775816,-0.09458967553680357,True,False,False
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,-1.0,False,405,0.6666666666666666,3.709414600442957,125.32205072567787,570.6082728962839,-0.0006433377289272797,0.0004878639991888032,1.8248157245052927,-0.035490175723377246,True,False,False
