direction_name,direction_type,rows,train_positive_rate,test_auc,test_balanced_accuracy,mean_seed_cosine_stability,min_seed_cosine_stability,cosine_vs_permuted_control,usable_direction
primitive_cav__primitive_00,cav,2517,0.075,0.44577844063302674,0.4572209793686304,0.357901038504371,0.2613782080134747,0.18338697904368262,False
primitive_cav__primitive_01,cav,2517,0.255,0.5316255239869585,0.4959012575687005,0.4350560824565437,0.40257534411123774,0.0017455563998551304,True
primitive_cav__primitive_02,cav,2517,0.4638888888888889,0.5534503316193458,0.572169125866309,0.4460658065279213,0.3251203187601542,0.0732858026905305,True
primitive_cav__primitive_04,cav,2517,0.06833333333333333,0.49807510468728894,0.5013676887748211,0.44066053777041286,0.22059725850929673,0.02320680762872904,False
primitive_cav__primitive_05,cav,2517,0.10777777777777778,0.9025656925819704,0.6710526315789473,0.6356334712910102,0.6073648767050113,0.09548605203433437,True
bad_vs_good_cav,cav,1852,0.8951048951048951,0.447834274952919,0.4541745134965474,0.4389188489750134,0.3742132263700452,0.16994726876348434,False
bad_primitives_cav,cav,2517,0.64,0.4498433609125231,0.49637721905373927,0.4724772223286351,0.4196526870304642,0.004316511495859508,False
high_vix_cav,cav,2517,0.16833333333333333,0.5018427036775661,0.4879087273582686,0.3329177882268513,0.25138926035934517,0.14062900154133676,False
drawdown_stress_cav,cav,2517,0.22277777777777777,0.4279475982532751,0.4401889899062209,0.49814295184674634,0.4430116496157649,0.11342343833516291,False
high_turnover_cav,cav,2517,0.2627777777777778,0.49539323603020974,0.5325463444884941,0.4274069966171916,0.2260100255333591,0.03550279001573986,False
high_action_change_cav,cav,2517,0.2627777777777778,0.49539323603020974,0.5325463444884941,0.4274069966171916,0.2260100255333591,0.00391714235115459,False
high_concentration_cav,cav,2517,0.23222222222222222,0.4374276106855969,0.4621427237063329,0.3060202771304991,0.18862253257270795,0.009126470790120552,False
positive_excess_return_cav,cav,2517,0.22777777777777777,0.5517102615694165,0.5311688311688312,0.41886301260780184,0.27399756670306546,0.051202320744957466,True
centroid_to_good__primitive_02_to_primitive_00,centroid_patch,1453,,,,,,,True
centroid_to_good__primitive_04_to_primitive_00,centroid_patch,572,,,,,,,True
centroid_to_good__primitive_05_to_primitive_00,centroid_patch,637,,,,,,,True
