primitive_id,direction_name,intervention_name,alpha,is_control,rows,ood_pass_rate,clipped_action_shift_l1_mean,action_mean_shift_l1_mean,policy_kl_mean,bad_primitive_probability_delta_mean,good_primitive_probability_delta_mean,relative_turnover_shift_mean,relative_hhi_shift_mean,beats_min_action_gate,beats_bad_probability_gate,passes_one_step_gate,control_action_shift,control_bad_delta,action_shift_lift_vs_control,bad_prob_delta_lift_vs_control
primitive_00,bad_primitives_cav,additive_steering,-1.0,False,405,0.012345679012345678,45.23144307077667,530.5369091646171,9455.002751479915,-0.009304469772232555,0.00029270588990428566,74.12991293635301,-0.07997944138474707,True,False,False,21.832496643599903,7.458703337751181e-06,23.398946427176767,-0.009311928475570306
primitive_00,bad_primitives_cav,additive_steering,-0.5,False,405,0.5654320987654321,41.8585783381521,265.2684534897039,2363.7506537731783,-0.004797108779945011,0.0002074080431663095,70.88684648649223,-0.07467023112417782,True,False,False,21.832496643599903,7.458703337751181e-06,20.026081694552197,-0.004804567483282762
primitive_00,bad_primitives_cav,additive_steering,-0.25,False,405,0.6839506172839506,34.35405671272749,132.63422556747625,590.9376558515761,-0.00243509799789312,0.00011922309467272034,59.20887916256522,-0.013689303583133102,True,False,False,21.832496643599903,7.458703337751181e-06,12.521560069127588,-0.002442556701230871
primitive_00,bad_primitives_cav,additive_steering,0.25,False,405,0.6839506172839506,5.368177386566445,132.6342258217894,590.9376820269927,0.00250876406880574,-0.0001507505397838399,2.7439748028152438,-0.051688612609242734,True,False,False,21.832496643599903,7.458703337751181e-06,-16.46431925703346,0.002501305365467989
primitive_00,bad_primitives_cav,additive_steering,0.5,False,405,0.5679012345679012,7.073635189032849,265.26845222755713,2363.750719178753,0.005091711549680855,-0.0003334988451033999,3.8244129322010423,-0.07476980211875253,True,False,False,21.832496643599903,7.458703337751181e-06,-14.758861454567054,0.005084252846343104
primitive_00,bad_primitives_cav,additive_steering,1.0,False,405,0.3012345679012346,8.720274375544655,530.5369049072266,9455.002832709419,0.010481896536282278,-0.0007967652032494063,5.006125690390874,-0.11080203810737907,True,False,False,21.832496643599903,7.458703337751181e-06,-13.112222268055248,0.010474437832944527
primitive_00,bad_primitives_cav,projection_removal,,False,405,0.562962962962963,6.892103620075885,226.51693688380865,1798.2567687305404,0.0039823697520354915,-0.00025595508653567824,3.798015785859083,-0.07066255683104211,True,False,False,21.832496643599903,7.458703337751181e-06,-14.940393023524017,0.0039749110486977405
primitive_00,bad_vs_good_cav,additive_steering,-1.0,False,405,0.01728395061728395,46.27808538837198,596.6846343994141,12128.365708037953,-0.006208933404344976,0.0010963710377839984,74.44696820952618,-0.10430507398228768,True,False,False,21.832496643599903,7.458703337751181e-06,24.445588744772074,-0.006216392107682727
primitive_00,bad_vs_good_cav,additive_steering,-0.5,False,405,0.6691358024691358,43.69279300077462,298.3423172938971,3032.0914407989126,-0.0032805496603329353,0.000609048095717466,72.62279991818008,-0.08604578336910962,True,False,False,21.832496643599903,7.458703337751181e-06,21.860296357174718,-0.0032880083636706863
primitive_00,bad_vs_good_cav,additive_steering,-0.25,False,405,0.6839506172839506,36.66434563766291,149.17115809122723,758.0228644759567,-0.0016845479072854774,0.00031987404167186783,62.81344889250126,-0.02641185046101712,True,False,False,21.832496643599903,7.458703337751181e-06,14.831848994063009,-0.0016920066106232287
primitive_00,bad_vs_good_cav,additive_steering,0.25,False,405,0.6839506172839506,5.681528750190764,149.1711592403459,758.0228755338692,0.0017735172890940348,-0.0003508160721933141,2.498059880295099,-0.08780963184565642,True,False,False,21.832496643599903,7.458703337751181e-06,-16.15096789340914,0.0017660585857562836
primitive_00,bad_vs_good_cav,additive_steering,0.5,False,405,0.6814814814814815,7.053839408026802,298.34231537241993,3032.091439442576,0.0036363583953448876,-0.0007327935449253127,3.2139346653280882,-0.1083667545791305,True,False,False,21.832496643599903,7.458703337751181e-06,-14.778657235573101,0.0036288996920071366
primitive_00,bad_vs_good_cav,additive_steering,1.0,False,405,0.30864197530864196,8.072068406255157,596.6846339096257,12128.365825587143,0.007631067934217368,-0.001590990113101395,3.7840601623965298,-0.13440295433830754,True,False,False,21.832496643599903,7.458703337751181e-06,-13.760428237344746,0.007623609230879617
primitive_00,bad_vs_good_cav,projection_removal,,False,405,0.674074074074074,7.272225310625854,236.1465337117513,1951.9326009397153,0.0024600646279530135,-0.0004968683772200326,3.3544462408086675,-0.0989510605559383,True,False,False,21.832496643599903,7.458703337751181e-06,-14.56027133297405,0.0024526059246152625
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,-1.0,False,405,0.03209876543209877,5.5831317755911085,1359.3931931107134,69236.75691098813,0.002824510759861611,-0.0002432672870862237,2.727248421561852,-0.07483195183562388,True,False,False,21.832496643599903,7.458703337751181e-06,-16.249364868008794,0.00281705205652386
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,-0.5,False,405,0.04197530864197531,5.120478636394313,679.6965914125796,17309.189113136574,0.0013711390938338818,-0.00010700353861731093,2.5009368579405953,-0.06930433098627867,True,False,False,21.832496643599903,7.458703337751181e-06,-16.71201800720559,0.0013636803904961306
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,-0.25,False,405,0.6839506172839506,4.577929935779101,339.8482981081362,4327.297311269501,0.0006753515447106904,-4.987387328518155e-05,2.234050054210119,-0.06366061211414283,True,False,False,21.832496643599903,7.458703337751181e-06,-17.254566707820803,0.0006678928413729392
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,0.25,False,405,0.6864197530864198,46.85747844790235,339.848296035955,4327.297266303169,-0.0006550414375898015,4.267844007327395e-05,76.6896477040287,-0.11850206584672204,True,False,False,21.832496643599903,7.458703337751181e-06,25.02498180430245,-0.0006625001409275527
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,0.5,False,405,0.04197530864197531,49.79365393556195,679.696600699719,17309.189528100283,-0.001289901524988351,7.82226303847068e-05,77.6829116492932,-0.15272174380858403,True,False,False,21.832496643599903,7.458703337751181e-06,27.961157291962046,-0.0012973602283261022
primitive_00,centroid_to_good__bad_to_primitive_00,additive_steering,1.0,False,405,0.024691358024691357,50.93896172605915,1359.3932014747902,69236.7578125,-0.0024996062491454366,0.000128156853073663,78.12602117688324,-0.1626078370930771,True,False,False,21.832496643599903,7.458703337751181e-06,29.106465082459245,-0.0025070649524831876
primitive_00,centroid_to_good__bad_to_primitive_00,projection_removal,,False,405,0.012345679012345678,5.672895211790815,1840.598838184498,127812.17289556809,0.0038583261016626107,-0.00035408623129388995,2.8067092341557216,-0.07768305644781043,True,False,False,21.832496643599903,7.458703337751181e-06,-16.159601431809087,0.0038508673983248596
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,-1.0,False,405,0.6666666666666666,3.709414600442957,125.32205072567787,570.6082728962839,-0.0006433377289272797,0.0004878639991888032,1.8248157245052927,-0.035490175723377246,True,False,False,21.832496643599903,7.458703337751181e-06,-18.123082043156945,-0.0006507964322650309
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,-0.5,False,405,0.9506172839506173,2.593228302767247,62.66102528984164,142.6520728982525,-0.0003242485174696457,0.0002446367046419926,1.0582697582250797,-0.028946411423604587,True,False,False,21.832496643599903,7.458703337751181e-06,-19.239268340832655,-0.0003317072208073969
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,-0.25,False,405,0.9728395061728395,1.7249167709806819,31.330512925136237,35.663018008367516,-0.00016277011625092454,0.00012249453216919316,0.5544007271633029,-0.017267505214146925,True,False,False,21.832496643599903,7.458703337751181e-06,-20.107579872619223,-0.0001702288195886757
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,0.25,False,405,0.9753086419753086,7.0527052356137165,31.330512244613082,35.66301586245313,0.00016406370582536703,-0.0001228468933982629,3.775011581275131,-0.007684684524081867,True,False,False,21.832496643599903,7.458703337751181e-06,-14.779791407986187,0.00015660500248761584
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,0.5,False,405,0.9753086419753086,16.349161022386433,62.66102498843346,142.65206840362077,0.000329422864436783,-0.00024604614501285815,18.097560021820048,0.03320675150157072,True,False,False,21.832496643599903,7.458703337751181e-06,-5.48333562121347,0.00032196416109903184
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,1.0,False,405,0.05185185185185185,34.15239322450426,125.32204972255377,570.6082788255479,0.0006640349355033348,-0.0004935016879458082,64.07519577815604,0.01686773575547718,True,False,False,21.832496643599903,7.458703337751181e-06,12.319896580904356,0.0006565762321655836
primitive_00,centroid_to_good__primitive_02_to_primitive_00,projection_removal,,False,405,0.9703703703703703,1.0176633304467908,28.657454037390373,325.6436225988026,-0.00024027236676072038,0.00016700235112288684,0.23763895507113825,-0.008222202954820032,True,False,False,21.832496643599903,7.458703337751181e-06,-20.814833313153112,-0.0002477310700984716
primitive_00,centroid_to_good__primitive_04_to_primitive_00,additive_steering,-1.0,False,405,0.014814814814814815,5.670602492785748,1262.044743366006,59028.29621280623,0.0034531542879292667,-0.0004492846896478889,2.8775328337805584,-0.07336551207527468,True,False,False,21.832496643599903,7.458703337751181e-06,-16.161894150814156,0.0034456955845915157
primitive_00,centroid_to_good__primitive_04_to_primitive_00,additive_steering,-0.5,False,405,0.03950617283950617,5.259849968368624,631.0223704962083,14757.07405071494,0.0016792851518103043,-0.00020763034478473287,2.696261223915922,-0.07509109827533746,True,False,False,21.832496643599903,7.458703337751181e-06,-16.57264667523128,0.001671826448472553
primitive_00,centroid_to_good__primitive_04_to_primitive_00,additive_steering,-0.25,False,405,0.6864197530864198,4.769651548803589,315.51118865778415,3689.268557371917,0.0008278453985717403,-9.958178871850891e-05,2.401256816370027,-0.0717413097128217,True,False,False,21.832496643599903,7.458703337751181e-06,-17.062845094796316,0.0008203866952339891
primitive_00,centroid_to_good__primitive_04_to_primitive_00,additive_steering,0.25,False,405,0.6839506172839506,46.711532576290175,315.5111825825256,3689.268448196223,-0.0008043087528481385,9.115626882963776e-05,76.63241937590622,-0.13806383061074834,True,False,False,21.832496643599903,7.458703337751181e-06,24.87903593269027,-0.0008117674561858898
primitive_00,centroid_to_good__primitive_04_to_primitive_00,additive_steering,0.5,False,405,0.044444444444444446,49.6396304283613,631.0223639405804,14757.07400610653,-0.0015851432947609628,0.00017392982544970294,77.71998455984621,-0.1697526691973792,True,False,False,21.832496643599903,7.458703337751181e-06,27.807133784761398,-0.001592601998098714
