run_name,config_name,seed,es_mode,dropout_p,selected_artifact_type,best_model_validation_sharpe,last_model_validation_sharpe,best_minus_last_val_sharpe,best_model_validation_return_pct,last_model_validation_return_pct,best_minus_last_val_return,best_checkpoint_timestep,best_checkpoint_validation_sharpe,best_checkpoint_validation_return_pct,test_sharpe,test_return_pct,test_max_drawdown
custom_custom__seed42__es-relaxed__dropout-0.1,custom_custom,42,relaxed,0.1,best_checkpoint_by_validation,0.9090251043634195,0.8158288912940319,0.0931962130693877,2.530876363309509,2.3072967746685435,0.2235795886409652,45056,1.8984031329307611,5.135869758844369,-0.6651895385729818,-11.833573524251628,-0.1812651344256702
custom_custom__seed123__es-relaxed__dropout-0.1,custom_custom,123,relaxed,0.1,best_checkpoint_by_validation,1.7794066583731265,-0.3743701115515117,2.1537767699246384,4.915391310641515,-1.2555637296249755,6.17095504026649,69632,2.1350283446667366,5.68450207021145,-0.8753022117875874,-13.909618986147542,-0.1794890220187471
custom_custom__seed999__es-relaxed__dropout-0.1,custom_custom,999,relaxed,0.1,best_model,2.426214643984896,1.1393396880021691,1.2868749559827268,6.883499670907556,3.317597884121959,3.565901786785597,90112,2.426214643984896,6.883499670907556,-0.9221292480285612,-15.879786790173068,-0.1875625722126536
custom_finrl__seed42__es-relaxed__dropout-nan,custom_finrl,42,relaxed,,best_model,2.761967073427613,1.2817006008809533,1.48026647254666,0.2164660639778493,1.1775382085651431,-0.9610721445872938,8192,2.761967073427613,0.2164660639778493,-1.879291753103353,-1.594477237882885,-0.0159658625042674
custom_finrl__seed123__es-relaxed__dropout-nan,custom_finrl,123,relaxed,,best_checkpoint_by_validation,3.4114818022760667,2.3162427654085285,1.0952390368675382,1.661066466347938,1.189641586681378,0.4714248796665599,69632,3.4998032849517853,1.420756136459311,-1.6436677251257994,-7.092835386834673,-0.0709283538683452
custom_finrl__seed999__es-relaxed__dropout-nan,custom_finrl,999,relaxed,,best_checkpoint_by_validation,1.8651485186268764,1.9700428899150848,-0.1048943712882088,1.855382885125767,2.545207481173861,-0.6898245960480942,200704,2.111369270026892,2.5513375984646647,-1.0813935453646488,-12.22010984514984,-0.1337845829677001
finrl_custom__seed42__es-relaxed__dropout-0.1,finrl_custom,42,relaxed,0.1,best_checkpoint_by_validation,1.618812709581039,0.5763103468675622,1.0425023627134768,4.795628230526794,1.6288405487850044,3.166787681741789,12288,1.6594358854440778,4.5881086707249,-1.0170552573541016,-16.623918273194647,-0.2119701240958116
finrl_custom__seed123__es-relaxed__dropout-0.1,finrl_custom,123,relaxed,0.1,best_model,2.1834048618263897,0.4163532153876154,1.7670516464387742,6.465523845347554,1.1076444642661665,5.357879381081387,90112,2.1834048618263897,6.465523845347554,-0.9076432588386844,-15.1963572051255,-0.1959195800397889
finrl_custom__seed999__es-relaxed__dropout-0.1,finrl_custom,999,relaxed,0.1,best_model,1.7463619099397318,0.9731924609624388,0.7731694489772929,5.042570725957818,2.741012234478357,2.3015584914794607,16384,1.7463619099397318,5.042570725957818,-0.8473921304206198,-13.89857682425999,-0.1764926018438012
finrl_finrl__seed42__es-relaxed__dropout-nan,finrl_finrl,42,relaxed,,best_checkpoint_by_validation,0.3973737562465823,0.2232781011800133,0.1740956550665689,0.4119721919586316,0.2214708787005692,0.1905013132580624,20480,0.8750668843765735,0.2188613861541455,-2.2900897400592624,-5.646827855011294,-0.060179647944963
finrl_finrl__seed123__es-relaxed__dropout-nan,finrl_finrl,123,relaxed,,best_checkpoint_by_validation,2.6404077860210373,1.7640288831948083,0.876378902826229,2.4895218419178637,1.872073965150034,0.6174478767678293,61440,2.925036620051157,1.80765383592143,-1.8709440158186768,-11.709140538980822,-0.1170914053898087
finrl_finrl__seed999__es-relaxed__dropout-nan,finrl_finrl,999,relaxed,,best_checkpoint_by_validation,1.6135910490548573,0.7644414736888483,0.849149575366009,1.681742201756342,1.0127430789875105,0.6689991227688319,4096,1.8919829952784344,0.0368316608933216,-2.0042887038237773,-0.3552319577354912,-0.0035880874971321
zhang_custom__seed42__es-relaxed__dropout-0.1,zhang_custom,42,relaxed,0.1,best_checkpoint_by_validation,1.3809987911508657,0.4248556317218868,0.9561431594289788,3.7066483708812825,1.0234269336562465,2.6832214372250363,4096,1.6157907141669527,4.40841752332195,-1.010557711184102,-16.639540595229217,-0.2133711457537639
zhang_custom__seed123__es-relaxed__dropout-0.1,zhang_custom,123,relaxed,0.1,best_model,1.7851333972047272,0.0985228070246919,1.6866105901800352,5.451319651261932,0.1143382481987309,5.336981403063201,24576,1.7851333972047272,5.451319651261932,-1.0039068802680082,-17.79625188698456,-0.2069382888671742
zhang_custom__seed999__es-relaxed__dropout-0.1,zhang_custom,999,relaxed,0.1,best_model,1.682576660259328,0.4683736259377713,1.2142030343215566,4.136237057457337,1.242355183264543,2.893881874192794,57344,1.682576660259328,4.136237057457337,-0.9397688716687808,-14.62977837599142,-0.1783695206631466
zhang_finrl__seed42__es-relaxed__dropout-nan,zhang_finrl,42,relaxed,,best_model,2.492026517416479,0.995952879383004,1.496073638033475,0.0895090252838182,0.7758906855936054,-0.6863816603097872,8192,2.492026517416479,0.0895090252838182,-1.381717823621726,-0.5913562548310991,-0.0071950834861331
zhang_finrl__seed123__es-relaxed__dropout-nan,zhang_finrl,123,relaxed,,best_checkpoint_by_validation,3.3447634231087906,2.3332287731147785,1.011534649994012,0.408902977033998,1.5817435134038993,-1.1728405363699013,32768,3.3475042954170364,0.9684333802977728,-1.4387997649579851,-4.455267688267838,-0.0462817469949361
zhang_finrl__seed999__es-relaxed__dropout-nan,zhang_finrl,999,relaxed,,best_model,1.9988346306267435,1.7925705389713855,0.2062640916553577,0.1897026493191012,2.444092439950163,-2.2543897906310617,8192,1.9988346306267435,0.1897026493191012,-1.437235687181316,-1.4932976064959802,-0.0164749983721056
