short_label,feature_set,feature_family,is_negative_control,runs,folds,seeds,n_features,validation_sharpe_median,validation_sharpe_iqr,test_sharpe_median,test_sharpe_iqr,validation_return_pct_median,test_return_pct_median,test_max_drawdown_median,test_max_drawdown_iqr,test_turnover_median,test_turnover_iqr,robust_selection_score_median,generalization_ratio_median,retention_ratio_median,test_sharpe_mean,test_return_pct_mean,positive_test_sharpe_rate,family_group,primary_benchmark_excess_sharpe_median,primary_benchmark_outperform_sharpe_rate
Vol Proxy,base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,42,14,3,22,2.6897109564725854,2.8528193389434144,1.1404712548730336,3.128227554586627,8.266927034009264,1.9797345983343484,-0.0558227211383181,0.058511962282399,11.317069997397866,3.383736559139786,2.503684937113301,3.216737689473519,0.3603362970262342,1.1547089880123218,1.4060542782895407,0.5952380952380952,candidate_top_tier,-0.21345832088615,0.4523809523809524
Rates,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,42,14,3,25,2.392969375771882,2.471755646850083,1.0974064253926683,3.0567104754292416,8.01562379243953,2.311667089196068,-0.0561495615911235,0.0607070567388636,11.208653353814643,2.464188134270102,2.259129550723612,2.914328025869602,0.3236250221010521,1.2647025796826075,1.529787648107511,0.6428571428571429,candidate_top_tier,-0.2336497228450276,0.4285714285714285
Credit,base_macro_credit_stress_proxies,credit_stress_proxies,False,42,14,3,23,2.459471604408063,2.522088402667726,1.0708713254120956,3.37988742413784,7.961666822899716,1.0682732252672356,-0.0455258766274727,0.0695585520265688,12.126707650273223,4.244730679156909,2.4692844009168,2.946568239227167,0.4467838018484892,1.295586201269717,1.186202566232978,0.5952380952380952,candidate_top_tier,-0.1902666314223374,0.4285714285714285
XSec,base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,42,14,3,18,2.412457723489633,2.8831461180222453,1.0504700633750237,3.4238376881639123,7.587508988091852,2.6454729192981863,-0.053576349425343,0.0646795045104835,11.29326047358834,6.096518177163338,2.323649361807454,3.263948208984236,0.4728677844320292,1.0702184148217992,1.1259682906517794,0.5238095238095238,candidate_keep,-0.2462970615146957,0.3571428571428571
Sector,base_macro_sector_relative_context,sector_relative_context,False,42,14,3,20,2.5021107579832327,2.8351330936986674,0.8503492237838679,3.5114067139605423,8.111082244546562,2.324392290548427,-0.0541608255462437,0.0676844854366218,12.5327868852459,3.82210675253708,2.2946009794315634,3.09176072360652,0.4057724306317466,1.2000987399975525,1.617288720510933,0.6666666666666666,candidate_keep,-0.1660977858856636,0.3571428571428571
Breadth,base_macro_breadth_internal_structure,market_internal_breadth,False,42,14,3,20,2.466580038179509,2.62126082076012,0.4827447088597676,2.9205231582214024,7.943708273802597,1.6653495694103129,-0.0586300062252045,0.0477482050141718,12.262800819252432,2.606283523456975,2.2994966768378573,3.1640031858415965,0.20127847126857,1.0649747265474305,0.8162699287223437,0.6190476190476191,candidate_low_priority,-0.2119358433055393,0.3809523809523809
Analyst,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,42,14,3,25,2.5968490856264994,2.089581246716156,0.884806470939481,3.1208830020238487,9.088416338321304,1.980467234485628,-0.0622724974745181,0.065071021650367,11.52777777777778,4.501008326827998,2.513064647929068,3.3455993415303387,0.2972513432321153,1.11060768674064,0.8259380634039004,0.5714285714285714,candidate_reject,-0.356439553573837,0.3095238095238095
XSec/Sector Gate,base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,42,14,3,32,2.674149452214392,2.500279705883317,0.6342036868114693,2.7817230621440125,8.154141779214175,1.4635104075237717,-0.0508284981518817,0.0603817163376217,12.155477491543069,3.408730158730158,2.455338236764796,3.062156460568899,0.2227345283848175,0.9714127983406132,0.8243458691428103,0.5952380952380952,candidate_reject,-0.2855845178484054,0.3333333333333333
