feature_set,short_label,family_group,test_sharpe_median,test_sharpe_mean,primary_benchmark_excess_sharpe_median,primary_benchmark_outperform_sharpe_rate,actual_test_winner_folds,robust_q25_retention_selected_folds
base_macro,Base+Macro,historical,1.3378153596148783,1.2158120055689512,-0.2144255353979984,0.4285714285714285,2,2
base_macro_vol_term_or_implied_vol_proxy,Vol Proxy,candidate_top_tier,1.1404712548730336,1.1547089880123218,-0.21345832088615,0.4523809523809524,1,2
base_macro_rates_term_structure_lsc,Rates,candidate_top_tier,1.0974064253926683,1.2647025796826075,-0.2336497228450276,0.4285714285714285,2,1
base_macro_credit_stress_proxies,Credit,candidate_top_tier,1.0708713254120956,1.295586201269717,-0.1902666314223374,0.4285714285714285,2,0
base_macro_xsec_dispersion_correlation_regime,XSec,candidate_keep,1.0504700633750237,1.0702184148217992,-0.2462970615146957,0.3571428571428571,0,0
base_macro_sector_relative_context,Sector,candidate_keep,0.8503492237838679,1.2000987399975525,-0.1660977858856636,0.3571428571428571,3,1
base_macro_xsec_sector_gated_context,XSec/Sector Gate,candidate_reject,0.6342036868114693,0.9714127983406132,-0.2855845178484054,0.3333333333333333,0,1
base_macro_rates_credit_vol_risk_state_context,Rates/Credit/Vol,interaction_reject,0.5150968945934143,0.9523822239660708,-0.2918607554033477,0.3571428571428571,0,1
base_macro_xsec_sector_complementarity_v2,XSec/Sector v2,interaction_near_miss,1.1347177683242538,1.1642534275116352,-0.223166360125883,0.3571428571428571,0,3
