fold_id,selection_rule,selected_feature_set,selected_score,selected_test_sharpe_median,actual_test_winner_feature_set,actual_test_winner_sharpe_median,selection_matches_test_winner,test_winner_regret
fold_01,sharpe_only,base_macro_exogenous_plus,2.425692073578083,2.0640592556475066,base,2.1410285956095354,False,0.0769693399620288
fold_01,robust_q25,base_macro,1.628162631626732,2.089147403970572,base,2.1410285956095354,False,0.0518811916389632
fold_01,robust_q25_retention,base_macro,2.302605788316042,2.089147403970572,base,2.1410285956095354,False,0.0518811916389632
fold_02,sharpe_only,base,0.7835454158533052,-0.7181526691846436,base_macro,0.9044651054555708,False,1.6226177746402142
fold_02,robust_q25,base,-0.0099012089587217,-0.7181526691846436,base_macro,0.9044651054555708,False,1.6226177746402142
fold_02,robust_q25_retention,base_macro,0.059018884353204,0.9044651054555708,base_macro,0.9044651054555708,True,0.0
fold_03,sharpe_only,base_macro,5.628893795259184,1.9530448012900063,base_macro_exogenous_plus,2.1196945415414588,False,0.1666497402514521
fold_03,robust_q25,base_macro,4.703424091290484,1.9530448012900063,base_macro_exogenous_plus,2.1196945415414588,False,0.1666497402514521
fold_03,robust_q25_retention,base_macro,5.894069393735441,1.9530448012900063,base_macro_exogenous_plus,2.1196945415414588,False,0.1666497402514521
fold_04,sharpe_only,base_macro_gru,4.6123857925987855,3.858184463877718,base,4.608277276320169,False,0.7500928124424506
fold_04,robust_q25,base,3.554369864758131,4.608277276320169,base,4.608277276320169,True,0.0
fold_04,robust_q25_retention,base,4.452839454207922,4.608277276320169,base,4.608277276320169,True,0.0
fold_05,sharpe_only,base,6.905987806897876,-1.0206333964288377,base_macro_exogenous_plus,-0.269126498155593,False,0.7515068982732447
fold_05,robust_q25,base,6.034373061973295,-1.0206333964288377,base_macro_exogenous_plus,-0.269126498155593,False,0.7515068982732447
fold_05,robust_q25_retention,base_macro_hmm,6.980788875049835,-0.8668063402479436,base_macro_exogenous_plus,-0.269126498155593,False,0.5976798420923506
fold_06,sharpe_only,base_macro_exogenous_plus,1.876051858561639,4.625873019015853,base_macro,4.936928152471243,False,0.3110551334553895
fold_06,robust_q25,base_macro,1.1562209979247378,4.936928152471243,base_macro,4.936928152471243,True,0.0
fold_06,robust_q25_retention,base_macro,2.1185844057409646,4.936928152471243,base_macro,4.936928152471243,True,0.0
fold_07,sharpe_only,base_macro,-1.3402331696332508,3.25179150527683,base_macro_gru,3.67792231807483,False,0.4261308127980001
fold_07,robust_q25,base_macro,-2.2673875789045965,3.25179150527683,base_macro_gru,3.67792231807483,False,0.4261308127980001
fold_07,robust_q25_retention,base,-2.977553960350922,2.822972207178993,base_macro_gru,3.67792231807483,False,0.8549501108958371
fold_08,sharpe_only,base_macro_hmm,2.003951046331661,-1.374739623328049,base_macro_exogenous_plus,-0.4790607876865169,False,0.8956788356415324
fold_08,robust_q25,base_macro_hmm,1.347161188038215,-1.374739623328049,base_macro_exogenous_plus,-0.4790607876865169,False,0.8956788356415324
fold_08,robust_q25_retention,base_macro_hmm,1.5326198123809216,-1.374739623328049,base_macro_exogenous_plus,-0.4790607876865169,False,0.8956788356415324
fold_09,sharpe_only,base_macro_hmm,6.960914845749867,-1.4493979471270868,base_macro_exogenous_plus,-1.2299041359212617,False,0.2194938112058251
fold_09,robust_q25,base_macro,5.721756706978272,-1.2506849342120032,base_macro_exogenous_plus,-1.2299041359212617,False,0.0207807982907415
fold_09,robust_q25_retention,base_macro,6.691482766979253,-1.2506849342120032,base_macro_exogenous_plus,-1.2299041359212617,False,0.0207807982907415
fold_10,sharpe_only,base_macro_gru,2.596134657686767,1.6414895066637534,base_macro,1.8259079492649783,False,0.1844184426012252
fold_10,robust_q25,base,1.7510565062179848,1.343968185554974,base_macro,1.8259079492649783,False,0.4819397637100044
fold_10,robust_q25_retention,base_macro,2.3867704593990955,1.8259079492649783,base_macro,1.8259079492649783,True,0.0
fold_11,sharpe_only,base_macro,3.189022924992049,2.631767369556407,base_macro,2.631767369556407,True,0.0
fold_11,robust_q25,base_macro,2.3682816685786263,2.631767369556407,base_macro,2.631767369556407,True,0.0
fold_11,robust_q25_retention,base_macro,3.3608575238142566,2.631767369556407,base_macro,2.631767369556407,True,0.0
fold_12,sharpe_only,base_macro,2.4473135469218854,-0.1855984990192751,base,0.3973912011691085,False,0.5829897001883836
fold_12,robust_q25,base,1.5993858479781882,0.3973912011691085,base,0.3973912011691085,True,0.0
fold_12,robust_q25_retention,base,2.062279057102801,0.3973912011691085,base,0.3973912011691085,True,0.0
fold_13,sharpe_only,base_macro_gru,4.251266296170514,-1.1092248996669938,base_macro,-0.0983525046531334,False,1.0108723950138605
fold_13,robust_q25,base_macro_gru,3.223675103687361,-1.1092248996669938,base_macro,-0.0983525046531334,False,1.0108723950138605
fold_13,robust_q25_retention,base_macro_gru,3.784329815573885,-1.1092248996669938,base_macro,-0.0983525046531334,False,1.0108723950138605
fold_14,sharpe_only,base,-1.150732715255342,-1.0551598927235686,base_macro,-0.753326261663642,False,0.3018336310599265
fold_14,robust_q25,base,-2.1254099344238195,-1.0551598927235686,base_macro,-0.753326261663642,False,0.3018336310599265
fold_14,robust_q25_retention,base,-2.096892878747618,-1.0551598927235686,base_macro,-0.753326261663642,False,0.3018336310599265
