fold_id,regime_label_exogenous,feature_set,runs,sharpe_median,max_drawdown_median,turnover_median,hit_rate_median
fold_01,bull_low_vol,base_macro_credit_stress_proxies,3,,-0.0029654211692349275,0.0,0.6666666666666666
fold_01,unknown,base_macro_credit_stress_proxies,3,2.213946741155502,-0.05109468797594796,12.203389830508474,0.6271186440677966
fold_02,bear_high_vol,base_macro_credit_stress_proxies,3,,-0.010590827017331828,0.125,0.75
fold_02,bull_high_vol,base_macro_credit_stress_proxies,3,,0.0,,0.0
fold_02,unknown,base_macro_credit_stress_proxies,3,0.27291496565769363,-0.028325312438254646,15.101694915254237,0.5254237288135594
fold_03,bear_low_vol,base_macro_credit_stress_proxies,3,,-0.0033687963526970455,0.0,0.6666666666666666
fold_03,unknown,base_macro_credit_stress_proxies,3,2.451092623880118,-0.031681342334135776,11.627118644067796,0.4745762711864407
fold_04,bull_low_vol,base_macro_credit_stress_proxies,3,,0.0,0.0,1.0
fold_04,unknown,base_macro_credit_stress_proxies,3,3.801859588871449,-0.013571609557150532,10.372881355932204,0.576271186440678
fold_05,bear_high_vol,base_macro_credit_stress_proxies,3,,0.0,,1.0
fold_05,bear_low_vol,base_macro_credit_stress_proxies,3,,0.0,0.0,0.0
fold_05,unknown,base_macro_credit_stress_proxies,3,-0.44378647640999236,-0.08767649929243837,13.559322033898304,0.559322033898305
fold_06,bull_low_vol,base_macro_credit_stress_proxies,3,,-0.001500575740073562,0.0,0.8
fold_06,unknown,base_macro_credit_stress_proxies,3,4.583156246338495,-0.014901879871472401,10.169491525423728,0.6271186440677966
fold_07,bull_high_vol,base_macro_credit_stress_proxies,3,,-0.0019733898672935624,0.0,0.6666666666666666
fold_07,unknown,base_macro_credit_stress_proxies,3,3.1403722628492567,-0.0304516084261357,16.25423728813559,0.5932203389830508
fold_08,bear_low_vol,base_macro_credit_stress_proxies,3,,0.0,,1.0
fold_08,bull_low_vol,base_macro_credit_stress_proxies,3,,-0.025341136721434898,0.0,0.25
fold_08,unknown,base_macro_credit_stress_proxies,3,-0.1462715998176869,-0.04763823218451546,12.084745762711865,0.5084745762711864
fold_09,bear_high_vol,base_macro_credit_stress_proxies,3,,-0.03921020856442181,0.0,0.25
fold_09,unknown,base_macro_credit_stress_proxies,3,-1.1030093506548977,-0.3342329250884396,13.559322033898304,0.4406779661016949
fold_10,bear_high_vol,base_macro_credit_stress_proxies,3,,-0.007702876761740085,0.0,0.6
fold_10,unknown,base_macro_credit_stress_proxies,3,1.1494617294956593,-0.10304464446372064,10.169491525423728,0.5254237288135594
fold_11,bull_low_vol,base_macro_credit_stress_proxies,3,,-0.0047385859111742645,0.0,0.3333333333333333
fold_11,unknown,base_macro_credit_stress_proxies,3,3.019681864311578,-0.04319397697939131,9.033898305084746,0.5932203389830508
fold_12,bear_high_vol,base_macro_credit_stress_proxies,3,,-0.0144388804169151,0.0,0.5
fold_12,unknown,base_macro_credit_stress_proxies,3,0.6395824279108906,-0.03924199195570499,15.915254237288135,0.5084745762711864
fold_13,bull_high_vol,base_macro_credit_stress_proxies,3,,0.0,,1.0
fold_13,bull_low_vol,base_macro_credit_stress_proxies,3,,-0.015621151234725628,0.0,0.0
fold_13,unknown,base_macro_credit_stress_proxies,3,-0.7623712285432604,-0.10397497822843937,13.559322033898304,0.4406779661016949
fold_14,bear_high_vol,base_macro_credit_stress_proxies,3,,-0.03283444819707759,0.0,0.4
fold_14,unknown,base_macro_credit_stress_proxies,3,-1.4615312579698156,-0.1325810517461644,15.932203389830509,0.4576271186440678
