fold_id,regime_label_exogenous,feature_set,runs,sharpe_median,max_drawdown_median,turnover_median,hit_rate_median
fold_01,bull_low_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.0014767062280036658,0.5,0.6666666666666666
fold_01,unknown,base_macro_xsec_sector_complementarity_v2,3,1.41958110217528,-0.06662616957319634,14.40677966101695,0.559322033898305
fold_02,bear_high_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.011069389829415965,0.0,0.75
fold_02,bull_high_vol,base_macro_xsec_sector_complementarity_v2,3,,0.0,,0.0
fold_02,unknown,base_macro_xsec_sector_complementarity_v2,3,0.24820244498540972,-0.034161828861581145,13.35593220338983,0.5254237288135594
fold_03,bear_low_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.00222110819899779,0.0,0.3333333333333333
fold_03,unknown,base_macro_xsec_sector_complementarity_v2,3,1.6863291863265018,-0.03169804340211879,13.728813559322035,0.5254237288135594
fold_04,bull_low_vol,base_macro_xsec_sector_complementarity_v2,3,,0.0,0.0,0.8
fold_04,unknown,base_macro_xsec_sector_complementarity_v2,3,4.092317946192289,-0.014073920922174743,9.491525423728813,0.6101694915254238
fold_05,bear_high_vol,base_macro_xsec_sector_complementarity_v2,3,,0.0,,1.0
fold_05,bear_low_vol,base_macro_xsec_sector_complementarity_v2,3,,0.0,0.0,0.0
fold_05,unknown,base_macro_xsec_sector_complementarity_v2,3,-0.2739644049147548,-0.09566133520564113,12.711864406779661,0.5254237288135594
fold_06,bull_low_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.0010419903717117096,0.0,0.6
fold_06,unknown,base_macro_xsec_sector_complementarity_v2,3,3.9346777355593954,-0.02076958655428829,13.559322033898304,0.6101694915254238
fold_07,bull_high_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.0016321654298789845,0.0,0.6666666666666666
fold_07,unknown,base_macro_xsec_sector_complementarity_v2,3,2.952554718628009,-0.028930628080019893,11.864406779661017,0.5932203389830508
fold_08,bear_low_vol,base_macro_xsec_sector_complementarity_v2,3,,0.0,,1.0
fold_08,bull_low_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.03133049956462153,0.0,0.25
fold_08,unknown,base_macro_xsec_sector_complementarity_v2,3,-1.0911529302010659,-0.07380952932080731,11.305084745762711,0.5084745762711864
fold_09,bear_high_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.03590458767535398,0.0,0.25
fold_09,unknown,base_macro_xsec_sector_complementarity_v2,3,-0.9602642490157282,-0.3277442453971616,10.186440677966102,0.4576271186440678
fold_10,bear_high_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.008763655065091802,0.0,0.6
fold_10,unknown,base_macro_xsec_sector_complementarity_v2,3,0.9061574788520685,-0.08967082937707305,14.076271186440678,0.5932203389830508
fold_11,bull_low_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.004233714643761544,0.0,0.3333333333333333
fold_11,unknown,base_macro_xsec_sector_complementarity_v2,3,2.629021765413588,-0.045642732181529255,11.864406779661017,0.576271186440678
fold_12,bear_high_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.012472976693285509,0.0,0.5
fold_12,unknown,base_macro_xsec_sector_complementarity_v2,3,0.5541654173201375,-0.03403693744175407,11.254237288135593,0.5084745762711864
fold_13,bull_high_vol,base_macro_xsec_sector_complementarity_v2,3,,0.0,,1.0
fold_13,bull_low_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.017421294156171108,0.0,0.0
fold_13,unknown,base_macro_xsec_sector_complementarity_v2,3,-0.17835426752826716,-0.08561828575733921,11.864406779661017,0.4406779661016949
fold_14,bear_high_vol,base_macro_xsec_sector_complementarity_v2,3,,-0.02292995010442289,0.0,0.4
fold_14,unknown,base_macro_xsec_sector_complementarity_v2,3,-1.7188493398437825,-0.1431784051869025,9.322033898305085,0.4576271186440678
