feature_set,runs,folds,seeds,n_features,validation_sharpe_median,validation_sharpe_iqr,test_sharpe_median,test_sharpe_iqr,test_max_drawdown_median,test_max_drawdown_iqr,test_turnover_median,test_turnover_iqr,generalization_ratio_median,retention_ratio_median
base_macro,60,14,3,12,2.4609560558823933,3.9022332444692007,0.9044651054555707,3.2738089246301634,-0.056948796984501726,0.06376586659194702,12.295081967213115,4.37026264762912,2.846383397784173,0.1252377058395727
base_macro_hmm_gru,60,14,3,23,2.493613938980377,2.1240189824723785,0.4279166040465253,3.2857748815488055,-0.059531739659616,0.06321379963061649,11.665124272871497,3.507708821233411,2.8013882177009615,-0.059187197642749274
full,60,14,3,29,2.693860359077706,4.316542451020583,0.2749090543390617,3.332441986390677,-0.05178968965268216,0.06797670501340755,11.943663804319542,4.439305230288838,3.2018818091148393,0.03271443968421743
base_macro_hmm,60,14,3,15,2.3766864629008353,3.932152881809585,0.08348444255822698,3.092098597218112,-0.05747386330771698,0.06914200059228628,11.60752688172043,2.830080666146239,2.443233144223888,-0.11205780094581842
base,60,14,3,9,2.4226554084697076,3.539325040888899,0.0041378222280573345,3.162860973794653,-0.05639980019694679,0.06478585565554829,11.290322580645162,4.449648711943794,2.821711424845575,-0.09246020507844693
