feature_set,regime,observations,mean_return,regime_sharpe
base,0.0,33,-7.70934898865383e-05,0.3698688070425234
base,1.0,27,0.000738587918751274,2.451779316460212
base_macro,0.0,33,-4.945442465020149e-05,0.6614990948673285
base_macro,1.0,27,0.0008739954829751108,2.8889640180833283
base_macro_hmm,-1.3468497972560505,3,0.0006871432836048184,0.9721072957552505
base_macro_hmm,-1.3301243435221468,3,-0.004831464180107489,-1.6894421136691358
base_macro_hmm,-1.3292864698368727,3,0.001304902596464328,3.199373797712616
base_macro_hmm,-1.2839010189588649,3,0.0021136344668498306,2.064393382684114
base_macro_hmm,-1.2733003575515036,3,-0.0018289997439455844,-1.7847244446275248
base_macro_hmm,-1.2608113475359333,3,0.0015512613065889133,2.6056755295262186
base_macro_hmm,-1.192457715429692,3,-0.00012205796837937074,-0.2390569879140322
base_macro_hmm,-1.131507348765239,3,-0.0005135468657137036,-0.7197319529459932
base_macro_hmm,-1.0851894926508139,3,-0.0008439263289134474,-1.1607146136116435
base_macro_hmm,-1.073423870597896,3,0.0010651295626601684,1.3299830340046057
base_macro_hmm,-1.0646666080871232,3,-6.88645075891392e-05,-4.435950711836141
base_macro_hmm,0.7518094115559961,3,-0.000343004412299585,-0.5780694711394893
base_macro_hmm,0.7522832908413948,3,0.0014399200547591331,3.33243952660717
base_macro_hmm,0.7743971080708614,3,0.0013508925370754315,4.472115377830126
base_macro_hmm,0.7788762414182588,3,-0.0011402995277243339,-1.9938138229655626
base_macro_hmm,0.7853606527873781,3,0.0013369335453649346,4.215266749244405
base_macro_hmm,0.8304162077337203,3,0.0011983627769316465,4.3214627660169915
base_macro_hmm,0.8828430011650111,3,0.0005936292007390072,1.9555576287486105
base_macro_hmm,0.9315984369178631,3,0.0019763049447551443,7.280170303842688
base_macro_hmm,0.9392611662691688,3,-5.873125354767869e-05,-0.16770707302705257
base_macro_hmm_gru,-1.3468497972560505,3,0.0010905650238709555,1.616929193914036
base_macro_hmm_gru,-1.3301243435221468,3,-0.006040586132589824,-2.006727524319387
base_macro_hmm_gru,-1.3292864698368727,3,0.0010939292569192504,2.5681492489188127
base_macro_hmm_gru,-1.2839010189588649,3,0.0021898844425862576,2.336191562161337
base_macro_hmm_gru,-1.2733003575515036,3,-0.0015732332293639647,-1.5060588612056314
base_macro_hmm_gru,-1.2608113475359333,3,0.0008951072099770216,2.090186294882415
base_macro_hmm_gru,-1.192457715429692,3,0.0001130450328339449,0.22922848572238338
base_macro_hmm_gru,-1.131507348765239,3,-0.0007742202327316409,-1.066679629640418
base_macro_hmm_gru,-1.0851894926508139,3,-0.000517116991013547,-0.6649186712733581
base_macro_hmm_gru,-1.073423870597896,3,0.0011772349420380958,1.6024802821845008
base_macro_hmm_gru,-1.0646666080871232,3,-6.4813300234062915e-06,-1.604448443126751
base_macro_hmm_gru,0.7518094115559961,3,0.0006487110168528564,1.2141189689850498
base_macro_hmm_gru,0.7522832908413948,3,0.001669697829639106,3.5728688742641723
base_macro_hmm_gru,0.7743971080708614,3,0.0013297583015112462,4.0002902838252545
base_macro_hmm_gru,0.7788762414182588,3,-0.0008792130751751555,-1.601733256293671
base_macro_hmm_gru,0.7853606527873781,3,0.0014421823353493691,3.852154794555279
base_macro_hmm_gru,0.8304162077337203,3,0.0012137415314605552,4.548131657391532
base_macro_hmm_gru,0.8828430011650111,3,0.0006947750967004719,2.5615856789868263
base_macro_hmm_gru,0.9315984369178631,3,0.001950652400162689,8.273350157321614
base_macro_hmm_gru,0.9392611662691688,3,-5.938984206709865e-06,-0.010890756603315213
full,-1.3468497972560505,3,0.001176981440639176,1.6448440068421533
full,-1.3301243435221468,3,-0.004956102982126168,-1.670880557840069
full,-1.3292864698368727,3,0.001174117584632614,2.656128381030974
full,-1.2839010189588649,3,0.0024882298158597216,2.761249057688263
full,-1.2733003575515036,3,-0.0017263009757140669,-1.5793305645018283
full,-1.2608113475359333,3,0.0015883468672444696,2.445590414553863
full,-1.192457715429692,3,0.00010067595214626052,0.19529755385809597
full,-1.131507348765239,3,-0.0004209426126368177,-0.6295782925243182
full,-1.0851894926508139,3,-0.0007211433625466708,-1.0171956308931196
full,-1.073423870597896,3,0.0007028983157786592,2.393637815946383
full,-1.0646666080871232,3,1.1455888692360137e-06,0.9887734657303838
full,0.7518094115559961,3,0.0007166205398125183,1.2076553554241902
full,0.7522832908413948,3,0.0013789395971318074,3.0882318539083027
full,0.7743971080708614,3,0.0009189850449331793,3.7017572359799362
full,0.7788762414182588,3,-0.0007146886008291388,-1.3606745286352158
full,0.7853606527873781,3,0.0012210031861306127,3.4987468268162574
full,0.8304162077337203,3,0.0009050554604115203,3.5389972808139643
full,0.8828430011650111,3,0.0005401751842612568,1.6506471345888822
full,0.9315984369178631,3,0.0014511704176906972,8.227843602210216
full,0.9392611662691688,3,0.0001824949773123042,0.3290953274956551
