feature_set,regime,observations,mean_return,regime_sharpe
base,0.0,33,-7.70934898865383e-05,0.3698688070425234
base,1.0,27,0.0007385879187512,2.451779316460212
base_macro,0.0,33,-4.945442465020149e-05,0.6614990948673285
base_macro,1.0,27,0.0008739954829751,2.8889640180833283
base_macro_hmm,-1.3468497972560505,3,0.0006871432836048,0.9721072957552503
base_macro_hmm,-1.3301243435221468,3,-0.0048314641801074,-1.6894421136691358
base_macro_hmm,-1.3292864698368727,3,0.0013049025964643,3.199373797712616
base_macro_hmm,-1.2839010189588649,3,0.0021136344668498,2.064393382684114
base_macro_hmm,-1.2733003575515036,3,-0.0018289997439455,-1.7847244446275248
base_macro_hmm,-1.2608113475359333,3,0.0015512613065889,2.6056755295262186
base_macro_hmm,-1.192457715429692,3,-0.0001220579683793,-0.2390569879140322
base_macro_hmm,-1.131507348765239,3,-0.0005135468657137,-0.7197319529459932
base_macro_hmm,-1.085189492650814,3,-0.0008439263289134,-1.1607146136116435
base_macro_hmm,-1.073423870597896,3,0.0010651295626601,1.3299830340046055
base_macro_hmm,-1.0646666080871232,3,-6.88645075891392e-05,-4.435950711836141
base_macro_hmm,0.7518094115559961,3,-0.0003430044122995,-0.5780694711394893
base_macro_hmm,0.7522832908413948,3,0.0014399200547591,3.33243952660717
base_macro_hmm,0.7743971080708614,3,0.0013508925370754,4.472115377830126
base_macro_hmm,0.7788762414182588,3,-0.0011402995277243,-1.9938138229655624
base_macro_hmm,0.7853606527873781,3,0.0013369335453649,4.215266749244405
base_macro_hmm,0.8304162077337203,3,0.0011983627769316,4.321462766016992
base_macro_hmm,0.8828430011650111,3,0.000593629200739,1.9555576287486105
base_macro_hmm,0.9315984369178631,3,0.0019763049447551,7.280170303842688
base_macro_hmm,0.9392611662691688,3,-5.873125354767869e-05,-0.1677070730270525
base_macro_hmm_gru,-1.3468497972560505,3,0.0010905650238709,1.616929193914036
base_macro_hmm_gru,-1.3301243435221468,3,-0.0060405861325898,-2.006727524319387
base_macro_hmm_gru,-1.3292864698368727,3,0.0010939292569192,2.5681492489188127
base_macro_hmm_gru,-1.2839010189588649,3,0.0021898844425862,2.336191562161337
base_macro_hmm_gru,-1.2733003575515036,3,-0.0015732332293639,-1.5060588612056314
base_macro_hmm_gru,-1.2608113475359333,3,0.000895107209977,2.090186294882415
base_macro_hmm_gru,-1.192457715429692,3,0.0001130450328339,0.2292284857223833
base_macro_hmm_gru,-1.131507348765239,3,-0.0007742202327316,-1.066679629640418
base_macro_hmm_gru,-1.085189492650814,3,-0.0005171169910135,-0.6649186712733581
base_macro_hmm_gru,-1.073423870597896,3,0.001177234942038,1.6024802821845008
base_macro_hmm_gru,-1.0646666080871232,3,-6.481330023406292e-06,-1.604448443126751
base_macro_hmm_gru,0.7518094115559961,3,0.0006487110168528,1.2141189689850498
base_macro_hmm_gru,0.7522832908413948,3,0.0016696978296391,3.5728688742641723
base_macro_hmm_gru,0.7743971080708614,3,0.0013297583015112,4.000290283825255
base_macro_hmm_gru,0.7788762414182588,3,-0.0008792130751751,-1.601733256293671
base_macro_hmm_gru,0.7853606527873781,3,0.0014421823353493,3.852154794555279
base_macro_hmm_gru,0.8304162077337203,3,0.0012137415314605,4.548131657391532
base_macro_hmm_gru,0.8828430011650111,3,0.0006947750967004,2.5615856789868263
base_macro_hmm_gru,0.9315984369178631,3,0.0019506524001626,8.273350157321614
base_macro_hmm_gru,0.9392611662691688,3,-5.938984206709865e-06,-0.0108907566033152
full,-1.3468497972560505,3,0.0011769814406391,1.6448440068421533
full,-1.3301243435221468,3,-0.0049561029821261,-1.670880557840069
full,-1.3292864698368727,3,0.0011741175846326,2.656128381030974
full,-1.2839010189588649,3,0.0024882298158597,2.761249057688263
full,-1.2733003575515036,3,-0.001726300975714,-1.5793305645018283
full,-1.2608113475359333,3,0.0015883468672444,2.445590414553863
full,-1.192457715429692,3,0.0001006759521462,0.1952975538580959
full,-1.131507348765239,3,-0.0004209426126368,-0.6295782925243182
full,-1.085189492650814,3,-0.0007211433625466,-1.0171956308931196
full,-1.073423870597896,3,0.0007028983157786,2.393637815946383
full,-1.0646666080871232,3,1.1455888692360135e-06,0.9887734657303838
full,0.7518094115559961,3,0.0007166205398125,1.2076553554241902
full,0.7522832908413948,3,0.0013789395971318,3.0882318539083027
full,0.7743971080708614,3,0.0009189850449331,3.701757235979936
full,0.7788762414182588,3,-0.0007146886008291,-1.3606745286352158
full,0.7853606527873781,3,0.0012210031861306,3.4987468268162574
full,0.8304162077337203,3,0.0009050554604115,3.5389972808139643
full,0.8828430011650111,3,0.0005401751842612,1.6506471345888822
full,0.9315984369178631,3,0.0014511704176906,8.227843602210216
full,0.9392611662691688,3,0.0001824949773123,0.3290953274956551
