run_key,model_name,feature_set,fold_id,seed,n_features,generalization_ratio,retention_ratio,selected_artifact_type,train_sharpe,train_return_pct,train_max_drawdown,train_turnover,validation_sharpe,validation_return_pct,validation_max_drawdown,validation_turnover,test_sharpe,test_return_pct,test_max_drawdown,test_turnover,regime,regime_mean_return,n_days,regime_sharpe
base__fold_01__seed42,custom_custom,base,fold_01,42,9,3.0521428450929844,0.5234549114944643,checkpoint,0.8042052419300443,87.74803371580524,-0.15183429862159648,0.6453851492019431,2.4545492751430573,9.240472432153135,-0.038639675391041295,13.03225806451613,1.2848458735788106,5.1164358552156175,-0.08183670689578271,13.098360655737705,0.0,0.00030889689007010575,45,0.39743990324218487
base__fold_01__seed42,custom_custom,base,fold_01,42,9,3.0521428450929844,0.5234549114944643,checkpoint,0.8042052419300443,87.74803371580524,-0.15183429862159648,0.6453851492019431,2.4545492751430573,9.240472432153135,-0.038639675391041295,13.03225806451613,1.2848458735788106,5.1164358552156175,-0.08183670689578271,13.098360655737705,1.0,0.0023257577057467747,17,8.781326667731179
base__fold_01__seed123,custom_custom,base,fold_01,123,9,2.302029436407099,1.0957031647980362,best_model,0.8488260102213642,104.17320277569763,-0.1735531398783121,0.45107564191533656,1.9540224619175734,7.013443754450188,-0.04315987286229217,10.483870967741936,2.1410285956095354,9.458451568983461,-0.06353920530439905,10.655737704918034,0.0,0.001260155353936613,45,1.5421108338664353
base__fold_01__seed123,custom_custom,base,fold_01,123,9,2.302029436407099,1.0957031647980362,best_model,0.8488260102213642,104.17320277569763,-0.1735531398783121,0.45107564191533656,1.9540224619175734,7.013443754450188,-0.04315987286229217,10.483870967741936,2.1410285956095354,9.458451568983461,-0.06353920530439905,10.655737704918034,1.0,0.002216326834643776,17,6.39998391911655
base__fold_01__seed999,custom_custom,base,fold_01,999,9,2.1411334685810792,0.9970279961797256,checkpoint,1.0034933812973248,119.91908268406463,-0.15578624151041487,0.5551700208188758,2.1486132641952964,7.918104251944746,-0.03811337617254029,12.903225806451612,2.1422275773658157,8.191041631993045,-0.048194871759243085,13.114754098360656,0.0,0.0011611867301252582,45,1.6159770864637175
base__fold_01__seed999,custom_custom,base,fold_01,999,9,2.1411334685810792,0.9970279961797256,checkpoint,1.0034933812973248,119.91908268406463,-0.15578624151041487,0.5551700208188758,2.1486132641952964,7.918104251944746,-0.03811337617254029,12.903225806451612,2.1422275773658157,8.191041631993045,-0.048194871759243085,13.114754098360656,1.0,0.0017337373631254708,17,8.060617742778003
base__fold_02__seed42,custom_custom,base,fold_02,42,9,1.175299766626629,-0.8090519630290903,checkpoint,1.0674184193721274,169.18090292594647,-0.18279228823241567,0.45431309904153355,1.2545366191810265,3.409698993580479,-0.039403036672134406,7.8125,-1.0149853144402878,-2.3031286557826935,-0.046161302795990844,7.936507936507937,0.0,-0.00016194117405972838,3,-6.903420609130432
base__fold_02__seed42,custom_custom,base,fold_02,42,9,1.175299766626629,-0.8090519630290903,checkpoint,1.0674184193721274,169.18090292594647,-0.18279228823241567,0.45431309904153355,1.2545366191810265,3.409698993580479,-0.039403036672134406,7.8125,-1.0149853144402878,-2.3031286557826935,-0.046161302795990844,7.936507936507937,1.0,-0.00035826913571633464,61,-1.0087674002815556
base__fold_02__seed123,custom_custom,base,fold_02,123,9,0.6625839362475001,-1.0091452771162774,checkpoint,1.0740442746138164,158.48149678642122,-0.16277606723951077,0.7041533546325879,0.7116444831777134,1.8616614529625153,-0.03929495423711549,13.578125,-0.7181526691846436,-1.7211117453540425,-0.04875948647317796,13.634920634920634,0.0,-0.00011727319330804657,3,-3.472352266172454
base__fold_02__seed123,custom_custom,base,fold_02,123,9,0.6625839362475001,-1.0091452771162774,checkpoint,1.0740442746138164,158.48149678642122,-0.16277606723951077,0.7041533546325879,0.7116444831777134,1.8616614529625153,-0.03929495423711549,13.578125,-0.7181526691846436,-1.7211117453540425,-0.04875948647317796,13.634920634920634,1.0,-0.00026205034042787263,61,-0.7139460373107662
